UserId,collaborationType,dominantPlayer,currentTask,NameBlueprintObj,blueprintPosX,blueprintPosY,blueprintPosZ,NameUserPlacedObj,UserPlacedPosX,UserPlacedPosY,UserPlacedPosZ,AbsoluteDistance,RelativeDistanceX,RelativeDistanceY,RelativeDistanceZ,correctObject
10,Angled90,P1,0,p13,0.162,0.421,-0.133,p13_root,-0.7922922,0.5356874,1.564565,p13_root,-0.9542922,0.1146875,1.697565,1.950783,False
10,Angled90,P1,0,p21,-0.016,0.421,-0.223,p21_root,-0.1271091,0.5049391,-1.514051,p21_root,-0.1111091,0.08393911,-1.291051,1.298539,False
10,Angled90,P1,0,p10,0.162,0.601,-0.133,p10_root,0.0224593,0.3759512,-0.06354904,p10_root,-0.1395407,-0.2250488,0.06945096,0.2737553,True
10,Angled90,P1,0,p02,0,-100,0,p02_root,0,-100,0,p02_root,0,0,0,0,True
10,Angled90,P1,0,p14,0,-100,0,p14_root,0,-100,0,p14_root,0,0,0,0,True
10,Angled90,P1,0,p07,0,-100,0,p07_root,0,-100,0,p07_root,0,0,0,0,True
10,Angled90,P1,0,p20,0,-100,0,p20_root,0,-100,0,p20_root,0,0,0,0,True
10,Angled90,P1,0,p08,0,-100,0,p08_root,0,-100,0,p08_root,0,0,0,0,True
10,Angled90,P1,0,p05,0,-100,0,p05_root,0,-100,0,p05_root,0,0,0,0,True
10,Angled90,P1,0,p26,0,-100,0,p26_root,0,-100,0,p26_root,0,0,0,0,True
10,Angled90,P1,0,p15,0,-100,0,p15_root,0,-100,0,p15_root,0,0,0,0,True
10,Angled90,P1,0,p11,0,-100,0,p11_root,0,-100,0,p11_root,0,0,0,0,True
10,Angled90,P2,1,p03,0.502,0.511,0.429,p03_root,-0.3645193,0.6245078,1.209696,p03_root,-0.8665193,0.1135077,0.7806956,1.171847,False
10,Angled90,P2,1,p11,0.502,0.511,0.339,p11_root,0.7940342,0.4876053,1.052401,p11_root,0.2920341,-0.02339476,0.7134014,0.7712152,False
10,Angled90,P2,1,p17,0.502,0.511,0.159,p17_root,0.300775,0.4197274,0.08592901,p17_root,-0.201225,-0.09127259,-0.073071,0.2327264,True
10,Angled90,P2,1,p16,-1.192093E-07,-100,-2.980232E-08,p16_root,0,-100,0,p16_root,1.192093E-07,0,2.980232E-08,1.228781E-07,True
10,Angled90,P2,1,p06,-1.192093E-07,-100,-2.980232E-08,p06_root,0,-100,0,p06_root,1.192093E-07,0,2.980232E-08,1.228781E-07,True
10,Angled90,P2,1,p09,-1.192093E-07,-100,-2.980232E-08,p09_root,0,-100,0,p09_root,1.192093E-07,0,2.980232E-08,1.228781E-07,True
10,Angled90,P2,1,p05,-1.192093E-07,-100,-2.980232E-08,p05_root,0,-100,0,p05_root,1.192093E-07,0,2.980232E-08,1.228781E-07,True
10,Angled90,P2,1,p13,-1.192093E-07,-100,-2.980232E-08,p13_root,0,-100,0,p13_root,1.192093E-07,0,2.980232E-08,1.228781E-07,True
10,Angled90,P2,1,p27,-1.192093E-07,-100,-2.980232E-08,p27_root,0,-100,0,p27_root,1.192093E-07,0,2.980232E-08,1.228781E-07,True
10,Angled90,P2,1,p15,-1.192093E-07,-100,-2.980232E-08,p15_root,0,-100,0,p15_root,1.192093E-07,0,2.980232E-08,1.228781E-07,True
10,Angled90,P2,1,p01,-1.192093E-07,-100,-2.980232E-08,p01_root,0,-100,0,p01_root,1.192093E-07,0,2.980232E-08,1.228781E-07,True
10,Angled90,P2,1,p21,-1.192093E-07,-100,-2.980232E-08,p21_root,0,-100,0,p21_root,1.192093E-07,0,2.980232E-08,1.228781E-07,True
10,Angled90,P1,2,p27,0.072,0.601,-0.133,p27_root,-0.3303046,0.5391647,0.6747053,p27_root,-0.4023046,-0.06183523,0.8077053,0.9044669,False
10,Angled90,P1,2,p22,0.162,0.816,-0.223,p22_root,-1.082201,1.906282,2.6562,p22_root,-1.244201,1.090282,2.8792,3.320624,False
10,Angled90,P1,2,p06,-0.02757494,0.5053046,-0.2302384,p06_root,-0.02757857,0.5072623,-0.2390371,p06_root,-3.624707E-06,0.001957715,-0.008798644,0.009013811,True
10,Angled90,P1,2,p08,-0.01800001,0.601,-0.223,p08_root,-0.07372677,0.3799265,-0.1807081,p08_root,-0.05572677,-0.2210735,0.04229192,0.2318783,True
10,Angled90,P1,2,p25,-0.2078655,0.6959577,-0.1314825,p25_root,-0.206488,0.7606409,-0.1378907,p25_root,0.001377478,0.0646832,-0.006408215,0.06501445,True
10,Angled90,P1,2,p17,0.162,0.601,-0.133,p17_root,0.01015329,0.6677037,-1.375831,p17_root,-0.1518467,0.0667038,-1.242831,1.253848,False
10,Angled90,P1,2,p23,0.252,0.585,-0.223,p23_root,-0.6996225,0.6476115,0.1155709,p23_root,-0.9516225,0.06261146,0.338571,1.011996,False
10,Angled90,P1,2,p21,-0.198,0.601,-0.223,p21_root,-0.2184581,0.6717542,-1.504775,p21_root,-0.02045812,0.07075429,-1.281775,1.283889,False
10,Angled90,P1,2,p26,-0.198,0.691,-0.04300001,p26_root,-0.5101355,0.7579826,-0.7479517,p26_root,-0.3121355,0.06698263,-0.7049518,0.7738684,False
10,Angled90,P1,2,p12,-0.01800001,0.511,-0.04300001,p12_root,-0.8075067,0.6946096,1.838955,p12_root,-0.7895067,0.1836096,1.881955,2.049095,False
10,Angled90,P1,2,p15,0.162,0.691,-0.133,p15_root,-1.244628,0.5320691,-0.2652945,p15_root,-1.406628,-0.1589308,-0.1322945,1.421746,False
10,Angled90,P1,2,p09,0.252,0.691,-0.133,p09_root,-0.02643782,0.5799078,-0.9677458,p09_root,-0.2784378,-0.1110922,-0.8347458,0.8869439,False
10,Angled90,P2,3,p17,0.502,0.511,0.159,p17_root,0.5199339,0.491809,0.168943,p17_root,0.01793391,-0.019191,0.009943008,0.02808528,True
10,Angled90,P2,3,p23,0.502,0.691,0.06899998,p23_root,0.5167974,0.6778286,0.07765648,p23_root,0.01479733,-0.01317143,0.008656502,0.02161903,True
10,Angled90,P2,3,p25,0.412,0.511,0.533,p25_root,0.4246027,0.5114332,0.5329211,p25_root,0.01260269,0.0004332066,-7.891655E-05,0.01261038,True
10,Angled90,P2,3,p03,0.322,0.421,0.06899995,p03_root,0.3192602,0.4356077,0.07417086,p03_root,-0.002739847,0.01460773,0.005170912,0.01573629,True
10,Angled90,P2,3,p10,0.502,0.601,0.159,p10_root,0.162679,0.4681637,0.2075696,p10_root,-0.339321,-0.1328363,0.04856956,0.3676184,False
10,Angled90,P2,3,p12,0.322,0.511,0.339,p12_root,0.3010904,0.5085299,0.3113126,p12_root,-0.02090958,-0.002470136,-0.02768731,0.03478361,True
10,Angled90,P2,3,p21,0.412,0.421,0.251,p21_root,0.4296797,0.4397796,0.253261,p21_root,0.01767969,0.01877961,0.002260983,0.02589126,True
10,Angled90,P2,3,p14,0.412,0.511,0.429,p14_root,0.4151463,0.5036264,0.4341206,p14_root,0.00314635,-0.007373631,0.005120575,0.009512636,True
10,Angled90,P2,3,p18,0.322,0.601,0.2489999,p18_root,0.3769476,0.5744954,0.302929,p18_root,0.05494764,-0.02650452,0.05392909,0.0814253,True
10,Angled90,P2,3,p04,0.502,0.601,0.339,p04_root,0.4740719,0.5987377,0.3666233,p04_root,-0.02792814,-0.002262235,0.02762336,0.03934652,True
10,Angled90,P2,3,p09,0.412,0.421,0.159,p09_root,0.9153699,0.4139801,1.091635,p09_root,0.5033699,-0.007019907,0.9326346,1.059829,False
10,Angled90,P2,3,p27,0.322,0.691,0.06899995,p27_root,0.3388811,0.6941884,0.06081715,p27_root,0.01688111,0.003188372,-0.008182794,0.01902881,True
