UserId,collaborationType,dominantPlayer,currentTask,NameBlueprintObj,blueprintPosX,blueprintPosY,blueprintPosZ,NameUserPlacedObj,UserPlacedPosX,UserPlacedPosY,UserPlacedPosZ,AbsoluteDistance,RelativeDistanceX,RelativeDistanceY,RelativeDistanceZ,correctObject
12,SideBySide,P1,0,p04,-0.198,0.601,-0.133,p04_root,-0.1993435,0.6016433,-0.1321841,p04_root,-0.001343548,0.0006433725,0.0008158833,0.001698445,True
12,SideBySide,P1,0,p13,-0.108,0.421,-0.223,p13_root,-0.1211626,0.4291482,-0.2188575,p13_root,-0.01316259,0.008148223,0.004142538,0.01602523,True
12,SideBySide,P1,0,p09,0.252,0.691,-0.133,p09_root,0.708311,0.5851411,-0.126563,p09_root,0.456311,-0.1058589,0.006437033,0.4684734,False
12,SideBySide,P1,0,p23,0,-100,0,p23_root,0,-100,0,p23_root,0,0,0,0,True
12,SideBySide,P1,0,p24,0,-100,0,p24_root,0,-100,0,p24_root,0,0,0,0,True
12,SideBySide,P1,0,p27,0,-100,0,p27_root,0,-100,0,p27_root,0,0,0,0,True
12,SideBySide,P1,0,p12,0,-100,0,p12_root,0,-100,0,p12_root,0,0,0,0,True
12,SideBySide,P1,0,p19,0,-100,0,p19_root,0,-100,0,p19_root,0,0,0,0,True
12,SideBySide,P1,0,p15,0,-100,0,p15_root,0,-100,0,p15_root,0,0,0,0,True
12,SideBySide,P1,0,p16,0,-100,0,p16_root,0,-100,0,p16_root,0,0,0,0,True
12,SideBySide,P1,0,p18,0,-100,0,p18_root,0,-100,0,p18_root,0,0,0,0,True
12,SideBySide,P1,0,p08,0,-100,0,p08_root,0,-100,0,p08_root,0,0,0,0,True
12,SideBySide,P2,1,p17,0.482,0.511,-0.223,p17_root,0.4839554,0.5374336,-0.227263,p17_root,0.00195545,0.02643353,-0.004262999,0.02684638,True
12,SideBySide,P2,1,p25,0.392,0.691,-0.223,p25_root,0.3901629,0.6744658,-0.2082745,p25_root,-0.001837105,-0.01653421,0.01472548,0.02221699,True
12,SideBySide,P2,1,p22,0.8559999,0.511,-0.133,p22_root,0.8587946,0.5029658,-0.1402554,p22_root,0.002794623,-0.008034229,-0.00725539,0.01118032,True
12,SideBySide,P2,1,p20,0,-100,0,p20_root,0,-100,0,p20_root,0,0,0,0,True
12,SideBySide,P2,1,p19,0,-100,0,p19_root,0,-100,0,p19_root,0,0,0,0,True
12,SideBySide,P2,1,p08,0,-100,0,p08_root,0,-100,0,p08_root,0,0,0,0,True
12,SideBySide,P2,1,p07,0,-100,0,p07_root,0,-100,0,p07_root,0,0,0,0,True
12,SideBySide,P2,1,p23,0,-100,0,p23_root,0,-100,0,p23_root,0,0,0,0,True
12,SideBySide,P2,1,p02,0,-100,0,p02_root,0,-100,0,p02_root,0,0,0,0,True
12,SideBySide,P2,1,p16,0,-100,0,p16_root,0,-100,0,p16_root,0,0,0,0,True
12,SideBySide,P2,1,p04,0,-100,0,p04_root,0,-100,0,p04_root,0,0,0,0,True
12,SideBySide,P2,1,p14,0,-100,0,p14_root,0,-100,0,p14_root,0,0,0,0,True
12,SideBySide,P1,2,p01,0.252,0.421,-0.223,p01_root,0.2542617,0.4240743,-0.2189561,p01_root,0.002261668,0.003074288,0.004043937,0.005560559,True
12,SideBySide,P1,2,p13,0.252,0.691,-0.133,p13_root,0.2529518,0.6960877,-0.1322802,p13_root,0.0009517968,0.005087733,0.0007197708,0.005225803,True
12,SideBySide,P1,2,p27,0.072,0.421,-0.223,p27_root,0.07741313,0.4114537,-0.2190033,p27_root,0.005413137,-0.00954625,0.0039967,0.01167932,True
