userId,collabType,currentTask,bPart,distance,timeElapsed
8,FaceToFaceNoIntersect,0,rightHandP2,0.3687206,0.06962585
8,FaceToFaceNoIntersect,0,leftHandP2,0.593646,2.505676
7,FaceToFaceNoIntersect,0,rightHandP1,0.4076838,0.9605713
7,FaceToFaceNoIntersect,0,rightHandP1,0.383109,0.1244812
8,FaceToFaceNoIntersect,0,leftHandP2,0.3744049,5.123505
7,FaceToFaceNoIntersect,0,rightHandP1,0.4345235,0.7239685
8,FaceToFaceNoIntersect,0,leftHandP2,0.3764996,8.840942
8,FaceToFaceNoIntersect,0,leftHandP2,0.3388128,1.684875
8,FaceToFaceNoIntersect,0,rightHandP2,0.4959778,2.117218
8,FaceToFaceNoIntersect,1,rightHandP2,0.5989259,5.313934
7,FaceToFaceNoIntersect,1,rightHandP1,0.4807152,0.8521729
7,FaceToFaceNoIntersect,1,rightHandP1,0.4662716,0.5435486
7,FaceToFaceNoIntersect,1,rightHandP1,0.6997513,4.259888
7,FaceToFaceNoIntersect,1,rightHandP1,0.5353046,2.65921
7,FaceToFaceNoIntersect,1,rightHandP1,0.4035196,0.09835815
8,FaceToFaceNoIntersect,1,rightHandP2,0.5485452,1.490448
8,FaceToFaceNoIntersect,1,rightHandP2,0.5344844,0.1391602
7,FaceToFaceNoIntersect,1,leftHandP1,0.4257151,2.10199
7,FaceToFaceNoIntersect,1,leftHandP1,0.398536,0.08358765
8,FaceToFaceNoIntersect,1,leftHandP2,0.4211103,1.239136
8,FaceToFaceNoIntersect,1,leftHandP2,0.5223952,1.057159
8,FaceToFaceNoIntersect,1,leftHandP2,0.4377668,1.155548
8,FaceToFaceNoIntersect,1,leftHandP2,0.4368184,0.9047546
8,FaceToFaceNoIntersect,1,leftHandP2,0.4579872,1.336823
7,FaceToFaceNoIntersect,1,leftHandP1,0.4173344,56.87128
