userId,collabType,currentTask,bPart,distance,timeElapsed
10,SideBySide,0,leftHandP2,0.3935751,0.2786407
10,SideBySide,0,rightHandP2,0.453876,1.475952
10,SideBySide,0,leftHandP2,0.3981264,0.4320221
10,SideBySide,0,rightHandP2,0.3964444,0.487854
9,SideBySide,0,rightHandP1,0.4635115,0.1675873
10,SideBySide,0,leftHandP2,0.3925993,2.464325
10,SideBySide,0,leftHandP2,0.4217525,0.1261597
9,SideBySide,0,rightHandP1,0.4429787,0.1950836
10,SideBySide,0,HeadP2,0.6609132,3.020905
10,SideBySide,0,leftHandP2,0.6115186,2.868576
10,SideBySide,0,rightHandP2,0.6110483,4.121384
9,SideBySide,0,rightHandP1,0.4470374,0.05534363
9,SideBySide,0,rightHandP1,0.4608335,0.1255035
9,SideBySide,0,rightHandP1,0.480257,0.1673126
9,SideBySide,0,rightHandP1,0.4865839,0.2220612
9,SideBySide,0,HeadP1,0.4464529,0.4309235
10,SideBySide,0,rightHandP2,0.4169241,1.015961
9,SideBySide,0,HeadP1,0.4708588,2.674255
10,SideBySide,0,leftHandP2,0.6224149,4.859131
9,SideBySide,0,rightHandP1,0.5556164,3.257751
10,SideBySide,0,HeadP2,0.7411868,5.289673
10,SideBySide,0,rightHandP2,0.7968206,5.819122
10,SideBySide,0,leftHandP2,0.6057936,0.8076477
9,SideBySide,1,rightHandP1,0.4867265,2.214569
10,SideBySide,1,leftHandP2,0.3667203,0.1808777
9,SideBySide,1,rightHandP1,0.5648674,1.169373
9,SideBySide,1,rightHandP1,0.4996617,1.112976
9,SideBySide,1,rightHandP1,0.4945793,2.325043
9,SideBySide,1,rightHandP1,0.4801524,0.9059753
9,SideBySide,1,rightHandP1,0.6114407,8.715302
10,SideBySide,2,rightHandP2,0.405265,0.7107849
10,SideBySide,2,leftHandP2,0.3864588,0.04202271
10,SideBySide,2,leftHandP2,0.390303,2.046234
10,SideBySide,2,rightHandP2,0.4468694,0.2368164
10,SideBySide,2,rightHandP2,0.4564616,2.840393
10,SideBySide,2,HeadP2,0.6293259,0.1672668
10,SideBySide,2,leftHandP2,0.4921166,1.600342
10,SideBySide,2,rightHandP2,0.5013018,1.865631
10,SideBySide,2,leftHandP2,0.4383584,0.4592896
10,SideBySide,2,leftHandP2,0.6186029,0.9606628
10,SideBySide,2,rightHandP2,0.6178975,1.97702
10,SideBySide,2,leftHandP2,0.533307,1.044312
10,SideBySide,2,rightHandP2,0.5342085,2.422363
10,SideBySide,2,leftHandP2,0.4888366,2.965179
10,SideBySide,2,rightHandP2,0.4727808,0.6687012
10,SideBySide,2,rightHandP2,0.4790936,2.922211
10,SideBySide,2,leftHandP2,0.3904685,1.823181
10,SideBySide,2,rightHandP2,0.4487502,8.00589
9,SideBySide,2,rightHandP1,0.5246319,2.810883
9,SideBySide,2,rightHandP1,0.5104299,0.6123657
10,SideBySide,2,rightHandP2,0.470288,1.114136
10,SideBySide,2,rightHandP2,0.4428563,1.114441
9,SideBySide,2,rightHandP1,0.4231415,0.4173584
9,SideBySide,2,rightHandP1,0.4467561,0.3615112
10,SideBySide,2,rightHandP2,0.5807487,1.156342
10,SideBySide,2,leftHandP2,0.5298433,1.420349
9,SideBySide,2,rightHandP1,0.4245125,0.2357788
9,SideBySide,3,rightHandP1,0.4260533,0.06991577
9,SideBySide,3,rightHandP1,0.4339626,0.04141235
9,SideBySide,3,rightHandP1,0.5381053,0.3339539
9,SideBySide,3,rightHandP1,0.5399035,0.3478394
9,SideBySide,3,rightHandP1,0.6193213,0.6535645
9,SideBySide,3,rightHandP1,0.4412007,0.5707397
9,SideBySide,3,rightHandP1,0.5410488,3.257202
9,SideBySide,3,rightHandP1,0.4669466,0.5292358
