UserId,collaborationType,dominantPlayer,currentTask,NameBlueprintObj,blueprintPosX,blueprintPosY,blueprintPosZ,NameUserPlacedObj,UserPlacedPosX,UserPlacedPosY,UserPlacedPosZ,AbsoluteDistance,RelativeDistanceX,RelativeDistanceY,RelativeDistanceZ,correctObject
5,FacetoFaceIntersect,P1,0,p04,-0.198,0.601,-0.133,p04_root,-0.1983536,0.6031743,-0.1342363,p04_root,-0.0003535599,0.002174377,-0.001236305,0.002526138,True
5,FacetoFaceIntersect,P1,0,p20,-0.108,0.421,-0.223,p20_root,-0.1002821,0.4226964,-0.2243013,p20_root,0.00771793,0.001696467,-0.001301318,0.008008612,True
5,FacetoFaceIntersect,P1,0,p27,0.252,0.691,-0.133,p27_root,0.2512261,0.695787,-0.1350593,p27_root,-0.0007739365,0.004786968,-0.002059266,0.005268265,True
5,FacetoFaceIntersect,P1,0,p25,0,-100,0,p25_root,0,-100,0,p25_root,0,0,0,0,True
5,FacetoFaceIntersect,P1,0,p03,0,-100,0,p03_root,0,-100,0,p03_root,0,0,0,0,True
5,FacetoFaceIntersect,P1,0,p07,0,-100,0,p07_root,0,-100,0,p07_root,0,0,0,0,True
5,FacetoFaceIntersect,P1,0,p17,0,-100,0,p17_root,0,-100,0,p17_root,0,0,0,0,True
5,FacetoFaceIntersect,P1,0,p22,0,-100,0,p22_root,0,-100,0,p22_root,0,0,0,0,True
5,FacetoFaceIntersect,P1,0,p26,0,-100,0,p26_root,0,-100,0,p26_root,0,0,0,0,True
5,FacetoFaceIntersect,P1,0,p15,0,-100,0,p15_root,0,-100,0,p15_root,0,0,0,0,True
5,FacetoFaceIntersect,P1,0,p05,0,-100,0,p05_root,0,-100,0,p05_root,0,0,0,0,True
5,FacetoFaceIntersect,P1,0,p11,0,-100,0,p11_root,0,-100,0,p11_root,0,0,0,0,True
5,FacetoFaceIntersect,P2,1,p03,-0.162,0.511,-0.03099999,p03_root,-0.1737251,0.5338608,-0.03301653,p03_root,-0.01172513,0.02286077,-0.002016544,0.0257713,True
5,FacetoFaceIntersect,P2,1,p21,-0.07200001,0.511,-0.03100002,p21_root,-0.07390452,0.5510998,-0.03853241,p21_root,-0.00190451,0.0400998,-0.007532388,0.04084554,True
5,FacetoFaceIntersect,P2,1,p11,0.108,0.511,-0.03100002,p11_root,0.1263449,0.5064833,-0.03634316,p11_root,0.01834494,-0.004516721,-0.005343139,0.01963381,True
5,FacetoFaceIntersect,P2,1,p01,0,-100,0,p01_root,0,-100,0,p01_root,0,0,0,0,True
5,FacetoFaceIntersect,P2,1,p24,0,-100,0,p24_root,0,-100,0,p24_root,0,0,0,0,True
5,FacetoFaceIntersect,P2,1,p27,0,-100,0,p27_root,0,-100,0,p27_root,0,0,0,0,True
5,FacetoFaceIntersect,P2,1,p15,0,-100,0,p15_root,0,-100,0,p15_root,0,0,0,0,True
5,FacetoFaceIntersect,P2,1,p10,0,-100,0,p10_root,0,-100,0,p10_root,0,0,0,0,True
5,FacetoFaceIntersect,P2,1,p07,0,-100,0,p07_root,0,-100,0,p07_root,0,0,0,0,True
5,FacetoFaceIntersect,P2,1,p14,0,-100,0,p14_root,0,-100,0,p14_root,0,0,0,0,True
5,FacetoFaceIntersect,P2,1,p16,0,-100,0,p16_root,0,-100,0,p16_root,0,0,0,0,True
5,FacetoFaceIntersect,P2,1,p26,0,-100,0,p26_root,0,-100,0,p26_root,0,0,0,0,True
5,FacetoFaceIntersect,P1,2,p25,-0.108,0.511,-0.04300001,p25_root,-0.1108251,0.5073932,-0.03950089,p25_root,-0.002825096,-0.003606796,0.00349912,0.005764893,True
5,FacetoFaceIntersect,P1,2,p07,-0.108,0.691,-0.04300001,p07_root,-0.1035118,0.6959218,-0.04597312,p07_root,0.0044882,0.004921794,-0.002973109,0.007294339,True
5,FacetoFaceIntersect,P1,2,p17,-0.198,0.511,-0.223,p17_root,-0.1990215,0.5115678,-0.2251178,p17_root,-0.001021504,0.0005677342,-0.002117813,0.002418868,True
5,FacetoFaceIntersect,P1,2,p14,-0.198,0.691,-0.223,p14_root,-0.1924782,0.6976486,-0.2211513,p14_root,0.005521789,0.00664866,0.001848683,0.008838126,True
5,FacetoFaceIntersect,P1,2,p03,0.072,0.601,-0.04300001,p03_root,0.07384646,0.6014615,-0.04125619,p03_root,0.001846462,0.0004615784,0.001743823,0.002581356,True
5,FacetoFaceIntersect,P1,2,p08,0.072,0.691,-0.223,p08_root,0.07107244,0.6979363,-0.220312,p08_root,-0.00092756,0.006936312,0.00268805,0.00749656,True
5,FacetoFaceIntersect,P1,2,p01,-0.01800001,0.691,-0.04300001,p01_root,-0.01529904,0.6880372,-0.04286557,p01_root,0.002700971,-0.002962828,0.0001344383,0.004011442,True
5,FacetoFaceIntersect,P1,2,p02,0.162,0.511,-0.223,p02_root,0.1652385,0.5106671,-0.2237861,p02_root,0.003238529,-0.0003328919,-0.0007860512,0.003349144,True
5,FacetoFaceIntersect,P1,2,p13,0.252,0.691,-0.133,p13_root,0.2569473,0.6915995,-0.1311336,p13_root,0.004947305,0.0005995035,0.001866445,0.005321546,True
5,FacetoFaceIntersect,P1,2,p10,-0.108,0.421,-0.133,p10_root,-0.1076792,0.4228745,-0.1319,p10_root,0.0003207624,0.001874536,0.001099959,0.002196972,True
5,FacetoFaceIntersect,P1,2,p12,-0.108,0.62,-0.223,p12_root,-0.1124063,0.621142,-0.2251441,p12_root,-0.004406273,0.001142025,-0.002144054,0.005031544,True
5,FacetoFaceIntersect,P1,2,p06,0.162,0.691,-0.133,p06_root,0.1613944,0.6905999,-0.1331004,p06_root,-0.0006055534,-0.0004000664,-0.0001003742,0.0007326821,True
5,FacetoFaceIntersect,P2,3,p20,0.108,0.601,-0.121,p20_root,0.10318,0.5928779,-0.0973146,p20_root,-0.00481993,-0.008122087,0.02368543,0.02549901,True
5,FacetoFaceIntersect,P2,3,p08,-0.04000001,0.601,-0.03100002,p08_root,-0.03633825,0.6143885,-0.0455099,p08_root,0.003661755,0.01338851,-0.01450989,0.02007978,True
5,FacetoFaceIntersect,P2,3,p07,-0.252,0.601,-0.121,p07_root,-0.2213331,0.6077453,-0.1021889,p07_root,0.03066696,0.006745338,0.01881111,0.03660355,True
5,FacetoFaceIntersect,P2,3,p04,0.01799999,0.691,-0.03100002,p04_root,0.02323307,0.6851802,-0.03374055,p04_root,0.005233083,-0.005819798,-0.002740532,0.008292509,True
5,FacetoFaceIntersect,P2,3,p25,-0.162,0.691,-0.03099999,p25_root,-0.1508607,0.6880896,-0.03342125,p25_root,0.01113929,-0.002910376,-0.00242126,0.01176506,True
5,FacetoFaceIntersect,P2,3,p22,-0.162,0.421,-0.211,p22_root,-0.1531925,0.4312277,-0.2143673,p22_root,0.008807585,0.01022777,-0.00336732,0.01391113,True
5,FacetoFaceIntersect,P2,3,p27,-0.252,0.511,-0.03099999,p27_root,-0.2860386,0.5579175,-0.05078927,p27_root,-0.03403857,0.0469175,-0.01978928,0.06124942,True
