userId,collabType,currentTask,bPart,distance,timeElapsed
9,CoupledView,0,HeadP1,0.5214087,0.1566162
9,CoupledView,0,HeadP1,0.5077695,0.1395569
9,CoupledView,0,HeadP1,0.5169485,2.088745
10,CoupledView,0,leftHandP2,0.7543751,6.365051
10,CoupledView,0,leftHandP2,0.5584351,1.614899
10,CoupledView,0,rightHandP2,0.741829,11.87772
10,CoupledView,0,leftHandP2,0.6355935,1.810364
10,CoupledView,0,rightHandP2,0.5575361,2.241882
9,CoupledView,0,leftHandP1,0.5084978,9.592621
9,CoupledView,0,HeadP1,0.5216236,2.157654
10,CoupledView,0,leftHandP2,0.5528511,5.261688
9,CoupledView,0,rightHandP1,0.5284507,0.5846252
9,CoupledView,0,rightHandP1,0.5047047,0.09680176
9,CoupledView,0,HeadP1,0.5118073,3.71814
10,CoupledView,0,rightHandP2,0.5794724,7.004608
10,CoupledView,1,rightHandP2,0.550392,0.02761841
9,CoupledView,1,HeadP1,0.511297,0.5378723
10,CoupledView,1,rightHandP2,0.5620061,0.444458
9,CoupledView,1,leftHandP1,0.4549101,0.5984802
10,CoupledView,1,leftHandP2,0.5926979,0.7389526
9,CoupledView,1,leftHandP1,0.4388601,0.3202515
9,CoupledView,1,leftHandP1,0.4400458,0.08346558
9,CoupledView,1,HeadP1,0.5370355,1.016266
9,CoupledView,1,rightHandP1,0.5655369,7.225281
9,CoupledView,1,rightHandP1,0.5131528,1.253113
10,CoupledView,1,rightHandP2,0.6986011,14.96661
9,CoupledView,1,rightHandP1,0.4580037,0.07077026
9,CoupledView,1,HeadP1,0.559679,3.091644
9,CoupledView,1,HeadP1,0.5482641,1.378571
10,CoupledView,1,leftHandP2,0.7618237,33.09125
9,CoupledView,1,rightHandP1,0.4790204,3.090027
9,CoupledView,1,rightHandP1,0.7604043,3.661743
9,CoupledView,1,HeadP1,0.5324789,5.082245
9,CoupledView,1,HeadP1,0.5270565,0.6257629
9,CoupledView,1,rightHandP1,0.5076518,0.7645569
9,CoupledView,1,HeadP1,0.5111126,1.196991
9,CoupledView,1,HeadP1,0.5092748,2.338776
9,CoupledView,1,HeadP1,0.5152071,7.670044
9,CoupledView,1,rightHandP1,0.4391599,0.362915
9,CoupledView,1,HeadP1,0.5296947,5.540924
10,CoupledView,1,rightHandP2,0.7448795,44.54996
10,CoupledView,1,rightHandP2,0.6386538,2.0466
10,CoupledView,1,leftHandP2,0.7446736,32.75793
10,CoupledView,1,leftHandP2,0.5957447,0.2371521
10,CoupledView,1,leftHandP2,0.5895862,0.1255493
10,CoupledView,1,rightHandP2,0.5838627,0.7938538
10,CoupledView,1,rightHandP2,0.5677977,0.1105957
10,CoupledView,1,rightHandP2,0.6790007,1.517578
10,CoupledView,1,leftHandP2,0.6711067,1.616058
9,CoupledView,1,rightHandP1,0.4469225,0.06866455
10,CoupledView,1,leftHandP2,0.769427,6.15332
10,CoupledView,1,leftHandP2,0.615697,0.1116028
10,CoupledView,1,leftHandP2,0.624667,0.04159546
10,CoupledView,1,rightHandP2,0.745403,6.863159
10,CoupledView,1,leftHandP2,0.6149206,0.1254578
9,CoupledView,1,rightHandP1,0.6071604,1.977753
9,CoupledView,1,leftHandP1,0.6315665,2.047424
10,CoupledView,1,rightHandP2,0.6487475,0.1959229
10,CoupledView,1,leftHandP2,0.6513913,0.2497559
10,CoupledView,1,rightHandP2,0.6684489,0.3747253
10,CoupledView,1,rightHandP2,0.6473367,0.3608093
10,CoupledView,1,leftHandP2,0.6557547,0.2514954
10,CoupledView,1,leftHandP2,0.6569146,0.3342285
10,CoupledView,1,rightHandP2,0.6654395,0.3351746
10,CoupledView,1,leftHandP2,0.7003444,0.306427
10,CoupledView,1,rightHandP2,0.6608026,0.3336487
10,CoupledView,1,leftHandP2,0.682981,0.4598999
