UserId,collaborationType,dominantPlayer,currentTask,NameBlueprintObj,blueprintPosX,blueprintPosY,blueprintPosZ,NameUserPlacedObj,UserPlacedPosX,UserPlacedPosY,UserPlacedPosZ,AbsoluteDistance,RelativeDistanceX,RelativeDistanceY,RelativeDistanceZ,correctObject
5,CoupledView,P1,0,p15,0.072,0.511,-0.04300001,p15_root,0.06995177,0.5092086,-0.03865346,p15_root,-0.002048224,-0.001791418,0.00434655,0.00512805,True
5,CoupledView,P1,0,p03,0.162,0.4261,-0.223,p03_root,0.1576145,0.4275784,-0.221167,p03_root,-0.004385546,0.001478374,0.001833007,0.004977802,True
5,CoupledView,P1,0,p18,0.162,0.601,-0.223,p18_root,0.1733102,0.582404,-0.2175811,p18_root,0.01131019,-0.01859593,0.005418941,0.02242976,True
5,CoupledView,P1,0,p10,0,-100,0,p10_root,0,-100,0,p10_root,0,0,0,0,True
5,CoupledView,P1,0,p08,0,-100,0,p08_root,0,-100,0,p08_root,0,0,0,0,True
5,CoupledView,P1,0,p24,0,-100,0,p24_root,0,-100,0,p24_root,0,0,0,0,True
5,CoupledView,P1,0,p23,0,-100,0,p23_root,0,-100,0,p23_root,0,0,0,0,True
5,CoupledView,P1,0,p19,0,-100,0,p19_root,0,-100,0,p19_root,0,0,0,0,True
5,CoupledView,P1,0,p22,0,-100,0,p22_root,0,-100,0,p22_root,0,0,0,0,True
5,CoupledView,P1,0,p26,0,-100,0,p26_root,0,-100,0,p26_root,0,0,0,0,True
5,CoupledView,P1,0,p09,0,-100,0,p09_root,0,-100,0,p09_root,0,0,0,0,True
5,CoupledView,P1,0,p21,0,-100,0,p21_root,0,-100,0,p21_root,0,0,0,0,True
5,CoupledView,P2,1,p21,0.162,0.437,-0.223,p21_root,-1.334701,0.5609311,0.4814238,p21_root,-1.496701,0.1239311,0.7044238,1.658821,False
5,CoupledView,P2,1,p05,0.072,0.511,-0.133,p05_root,-1.444058,0.5005015,0.6531913,p05_root,-1.516058,-0.01049852,0.7861913,1.707817,False
5,CoupledView,P2,1,p04,0.072,0.601,-0.223,p04_root,-0.6024557,0.7010572,1.248821,p04_root,-0.6744556,0.1000572,1.471821,1.622085,False
5,CoupledView,P2,1,p17,0,-100,0,p17_root,0,-100,0,p17_root,0,0,0,0,True
