UserId,collaborationType,dominantPlayer,currentTask,NameBlueprintObj,blueprintPosX,blueprintPosY,blueprintPosZ,NameUserPlacedObj,UserPlacedPosX,UserPlacedPosY,UserPlacedPosZ,AbsoluteDistance,RelativeDistanceX,RelativeDistanceY,RelativeDistanceZ,correctObject
6,FaceToFaceNoIntersect,P1,0,p14,0.162,0.421,-0.133,p14_root,0.1648639,0.4268266,-0.1263877,p14_root,0.002863914,0.005826652,0.006612256,0.009266812,True
6,FaceToFaceNoIntersect,P1,0,p23,0.072,0.601,-0.04300001,p23_root,0.05951189,0.6040254,-0.04837251,p23_root,-0.0124881,0.003025413,-0.005372494,0.0139273,True
6,FaceToFaceNoIntersect,P1,0,p18,0.162,0.511,-0.133,p18_root,0.1656043,0.5121219,-0.1266104,p18_root,0.003604323,0.001121819,0.006389558,0.007421326,True
6,FaceToFaceNoIntersect,P1,0,p12,0,-100,0,p12_root,0,-100,0,p12_root,0,0,0,0,True
6,FaceToFaceNoIntersect,P1,0,p06,0,-100,0,p06_root,0,-100,0,p06_root,0,0,0,0,True
6,FaceToFaceNoIntersect,P1,0,p04,0,-100,0,p04_root,0,-100,0,p04_root,0,0,0,0,True
6,FaceToFaceNoIntersect,P1,0,p07,0,-100,0,p07_root,0,-100,0,p07_root,0,0,0,0,True
6,FaceToFaceNoIntersect,P1,0,p17,0,-100,0,p17_root,0,-100,0,p17_root,0,0,0,0,True
6,FaceToFaceNoIntersect,P1,0,p11,0,-100,0,p11_root,0,-100,0,p11_root,0,0,0,0,True
6,FaceToFaceNoIntersect,P1,0,p08,0,-100,0,p08_root,0,-100,0,p08_root,0,0,0,0,True
6,FaceToFaceNoIntersect,P1,0,p02,0,-100,0,p02_root,0,-100,0,p02_root,0,0,0,0,True
6,FaceToFaceNoIntersect,P1,0,p21,0,-100,0,p21_root,0,-100,0,p21_root,0,0,0,0,True
6,FaceToFaceNoIntersect,P2,1,p07,0.108,0.511,0.113,p07_root,0.09293476,0.5080355,0.1367155,p07_root,-0.01506521,-0.002964556,0.0237155,0.02825197,True
6,FaceToFaceNoIntersect,P2,1,p24,0.108,0.691,0.113,p24_root,0.09658126,0.6768028,0.1207301,p24_root,-0.01141871,-0.01419723,0.007730126,0.01979149,True
6,FaceToFaceNoIntersect,P2,1,p26,0.198,0.511,0.293,p26_root,0.1905166,0.5170677,0.296313,p26_root,-0.007483363,0.006067634,0.003313065,0.0101879,True
6,FaceToFaceNoIntersect,P2,1,p23,0,-100,0,p23_root,0,-100,0,p23_root,0,0,0,0,True
6,FaceToFaceNoIntersect,P2,1,p02,0,-100,0,p02_root,0,-100,0,p02_root,0,0,0,0,True
6,FaceToFaceNoIntersect,P2,1,p09,0,-100,0,p09_root,0,-100,0,p09_root,0,0,0,0,True
6,FaceToFaceNoIntersect,P2,1,p14,0,-100,0,p14_root,0,-100,0,p14_root,0,0,0,0,True
6,FaceToFaceNoIntersect,P2,1,p13,0,-100,0,p13_root,0,-100,0,p13_root,0,0,0,0,True
6,FaceToFaceNoIntersect,P2,1,p17,0,-100,0,p17_root,0,-100,0,p17_root,0,0,0,0,True
6,FaceToFaceNoIntersect,P2,1,p19,0,-100,0,p19_root,0,-100,0,p19_root,0,0,0,0,True
6,FaceToFaceNoIntersect,P2,1,p16,0,-100,0,p16_root,0,-100,0,p16_root,0,0,0,0,True
6,FaceToFaceNoIntersect,P2,1,p12,0,-100,0,p12_root,0,-100,0,p12_root,0,0,0,0,True
6,FaceToFaceNoIntersect,P1,2,p14,0.162,0.421,-0.133,p14_root,0.1595042,0.4237304,-0.1468834,p14_root,-0.002495795,0.002730399,-0.01388341,0.01436778,True
6,FaceToFaceNoIntersect,P1,2,p22,0.072,0.601,-0.04300001,p22_root,0.07390958,0.6056173,-0.04642737,p22_root,0.001909584,0.004617333,-0.003427356,0.00605913,True
6,FaceToFaceNoIntersect,P1,2,p21,0.162,0.511,-0.133,p21_root,0.1667251,0.5078599,-0.1198791,p21_root,0.004725128,-0.003140152,0.0131209,0.01429495,True
6,FaceToFaceNoIntersect,P1,2,p07,0.162,0.911,-0.133,p07_root,0.160134,0.9163189,-0.1352532,p07_root,-0.001865998,0.00531888,-0.00225319,0.006070362,True
6,FaceToFaceNoIntersect,P1,2,p17,0.252,0.511,-0.04300001,p17_root,1.247607,0.5812694,1.15749,p17_root,0.9956068,0.07026935,1.20049,1.5612,False
6,FaceToFaceNoIntersect,P1,2,p16,-0.108,0.691,-0.133,p16_root,-0.09688455,0.6805784,-0.1257758,p16_root,0.01111545,-0.01042163,0.007224217,0.01686277,True
6,FaceToFaceNoIntersect,P1,2,p13,-0.01800001,0.603,-0.223,p13_root,-0.02151636,0.6016928,-0.2237871,p13_root,-0.003516357,-0.001307249,-0.000787124,0.003833175,True
