userId,collabType,currentTask,bPart,distance,timeElapsed
13,FacetoFaceIntersect,0,HeadP1,0.45924,0.779686
13,FacetoFaceIntersect,0,HeadP1,0.4737682,0.306427
13,FacetoFaceIntersect,0,HeadP1,0.4690363,1.336075
14,FacetoFaceIntersect,0,leftHandP2,0.6353858,63.00535
13,FacetoFaceIntersect,1,rightHandP1,0.4978777,2.811996
13,FacetoFaceIntersect,1,rightHandP1,0.5851337,0.2510681
13,FacetoFaceIntersect,1,HeadP1,0.5677131,1.753296
13,FacetoFaceIntersect,1,rightHandP1,0.589995,1.82341
13,FacetoFaceIntersect,1,HeadP1,0.5049008,0.3473358
14,FacetoFaceIntersect,1,leftHandP2,0.6906272,79.00331
13,FacetoFaceIntersect,2,rightHandP1,0.4279545,0.2367554
14,FacetoFaceIntersect,2,leftHandP2,0.6895704,154.1271
13,FacetoFaceIntersect,3,HeadP1,0.505187,0.36203
13,FacetoFaceIntersect,3,HeadP1,0.5342699,0.5986633
13,FacetoFaceIntersect,3,rightHandP1,0.4511958,1.434204
13,FacetoFaceIntersect,3,leftHandP1,0.3435677,2.102264
13,FacetoFaceIntersect,3,HeadP1,0.5205863,1.461945
13,FacetoFaceIntersect,3,leftHandP1,0.491022,0.6548462
13,FacetoFaceIntersect,3,leftHandP1,0.4009526,0.2230225
13,FacetoFaceIntersect,3,leftHandP1,0.4004529,0.2512817
13,FacetoFaceIntersect,3,rightHandP1,0.4159319,0.9884033
13,FacetoFaceIntersect,3,rightHandP1,0.4116445,0.2644043
13,FacetoFaceIntersect,3,rightHandP1,0.4462282,0.7384033
13,FacetoFaceIntersect,3,rightHandP1,0.4218611,1.628296
13,FacetoFaceIntersect,3,rightHandP1,0.4353864,0.7104492
13,FacetoFaceIntersect,3,HeadP1,0.5577806,1.156189
13,FacetoFaceIntersect,3,leftHandP1,0.4121905,7.531982
14,FacetoFaceIntersect,3,leftHandP2,0.6894937,161.9802
