userId,collabType,currentTask,bPart,distance,timeElapsed
17,Angled90,0,leftHandP1,0.7148698,51.50312
18,Angled90,0,leftHandP2,0.6166497,51.50275
17,Angled90,1,rightHandP1,0.4888921,0.3756561
17,Angled90,1,rightHandP1,0.5064813,0.2924957
17,Angled90,1,rightHandP1,0.509888,0.2506866
17,Angled90,1,leftHandP1,0.8081153,27.95199
18,Angled90,1,leftHandP2,0.6067038,27.95199
17,Angled90,2,rightHandP1,0.5139809,0.6402283
17,Angled90,2,rightHandP1,0.5783978,0.6820068
18,Angled90,2,rightHandP2,0.5503389,0.6404114
18,Angled90,2,rightHandP2,0.5220762,0.6401062
18,Angled90,2,rightHandP2,0.5154368,0.9184723
17,Angled90,2,rightHandP1,0.3569329,0.3061218
17,Angled90,2,leftHandP1,0.759962,144.4369
18,Angled90,2,leftHandP2,0.6072618,144.4369
17,Angled90,3,rightHandP1,0.5383165,0.5704956
17,Angled90,3,rightHandP1,0.5394278,8.114136
17,Angled90,3,rightHandP1,0.4189158,0.1671753
17,Angled90,3,HeadP1,0.4379913,1.795776
17,Angled90,3,rightHandP1,0.4558994,3.481445
17,Angled90,3,HeadP1,0.3888275,1.670013
17,Angled90,3,HeadP1,0.3627866,0.01351929
17,Angled90,3,HeadP1,0.4190964,1.963409
17,Angled90,3,HeadP1,0.4190414,2.534454
17,Angled90,3,rightHandP1,0.7316929,8.24173
18,Angled90,3,rightHandP2,0.3773226,0.5986633
17,Angled90,3,leftHandP1,0.9264422,132.438
18,Angled90,3,leftHandP2,0.6044893,132.438
