UserId,condition,dominant,numberAccuratePuzzles,
10,Angled90,2,P1,3
10,Angled90,3,P2,10
10,FaceToFaceNoIntersect,2,P1,6
10,FaceToFaceNoIntersect,3,P2,12
10,CoupledView,2,P1,11
10,CoupledView,3,P2,11
10,FacetoFaceIntersect,2,P1,12
10,FacetoFaceIntersect,3,P2,10
10,SideBySide,2,P1,11
10,SideBySide,3,P2,11
11,FacetoFaceIntersect,2,P1,7
11,FacetoFaceIntersect,3,P2,11
11,FaceToFaceNoIntersect,2,P1,11
11,FaceToFaceNoIntersect,3,P2,11
11,SideBySide,2,P1,12
11,SideBySide,3,P2,12
11,Angled90,3,P2,12
11,Angled90,2,P1,12
11,Angled90,3,P2,12
11,CoupledView,3,P2,12
11,CoupledView,2,P1,12
11,CoupledView,3,P2,12
12,SideBySide,2,P1,11
12,SideBySide,3,P2,11
12,CoupledView,2,P1,12
12,CoupledView,3,P2,12
12,FacetoFaceIntersect,2,P1,11
12,FacetoFaceIntersect,3,P2,12
12,Angled90,2,P1,12
12,Angled90,3,P2,12
12,FaceToFaceNoIntersect,2,P1,12
12,FaceToFaceNoIntersect,3,P2,12
5,SideBySide,2,P1,11
5,SideBySide,3,P2,12
5,FacetoFaceIntersect,2,P1,12
5,FacetoFaceIntersect,3,P2,12
5,CoupledView,2,P1,12
5,CoupledView,3,P2,12
5,FaceToFaceNoIntersect,2,P1,12
5,FaceToFaceNoIntersect,3,P2,12
5,Angled90,2,P1,12
5,Angled90,3,P2,11
6,CoupledView,2,P1,9
6,CoupledView,3,P2,11
6,Angled90,2,P1,10
6,Angled90,3,P2,11
6,SideBySide,2,P1,11
6,SideBySide,3,P2,11
6,FaceToFaceNoIntersect,2,P1,11
6,FaceToFaceNoIntersect,3,P2,11
6,FacetoFaceIntersect,2,P1,12
6,FacetoFaceIntersect,3,P2,12
7,FaceToFaceNoIntersect,2,P1,8
7,FaceToFaceNoIntersect,3,P2,11
7,SideBySide,2,P1,12
7,SideBySide,3,P2,11
7,Angled90,2,P1,12
7,Angled90,3,P2,10
7,FacetoFaceIntersect,2,P1,12
7,FacetoFaceIntersect,3,P2,11
7,CoupledView,2,P1,12
7,CoupledView,3,P2,12
8,FacetoFaceIntersect,2,P1,10
8,FacetoFaceIntersect,3,P2,12
8,SideBySide,2,P1,12
8,SideBySide,3,P2,12
8,FaceToFaceNoIntersect,2,P1,12
8,FaceToFaceNoIntersect,3,P2,12
8,CoupledView,2,P1,12
8,CoupledView,3,P2,11
8,Angled90,2,P1,11
8,Angled90,3,P2,12
9,CoupledView,2,P1,9
9,CoupledView,3,P2,8
9,SideBySide,2,P1,12
9,SideBySide,3,P2,12
9,Angled90,2,P1,12
9,Angled90,3,P2,12
9,FacetoFaceIntersect,2,P1,12
9,FacetoFaceIntersect,3,P2,12
9,FaceToFaceNoIntersect,2,P1,11
9,FaceToFaceNoIntersect,3,P2,11
