User,taskID,condition,numberCollisionsDominant,timeCollisionsDominant,distanceDominant,numberCollisionsNotDominant,timeCollisionsNotDominant,distanceNotDominant,distance dominant,distanceNotDominant,averageDistanceDominant,averageDistanceNotDominant
10,2,Angled90,20,32.20764,8.83543,8,8.312317,4.705102,28.673468,1.505102,1.4336734,0.58813775
10,3,Angled90,2,1.838012,1.101293,33,84.96142,16.32985,1.3974948,3.12985,0.6987474,0.494843939
10,2,FaceToFaceNoIntersect,13,249.1729,5.415555,21,40.35687,10.40759,247.006678,2.00759,19.00051369,0.495599524
10,3,FaceToFaceNoIntersect,1,0.3071289,0.4431214,29,237.1152,13.62108,0.12988034,2.02108,0.12988034,0.469692414
10,2,CoupledView,1,8.5065,0.5709115,7,15.73279,3.256032,8.2781354,0.456032,8.2781354,0.465147429
10,3,CoupledView,1,0.724823,0.6007999,9,21.186,4.036167,0.48450304,0.436167,0.48450304,0.448463
10,2,FacetoFaceIntersect,1,0.9745331,0.3942311,23,54.07873,10.39905,0.81684066,1.19905,0.81684066,0.452132609
10,3,FacetoFaceIntersect,11,27.55051,4.91421,41,118.5013,18.82973,25.584826,2.42973,2.325893273,0.459261707
10,2,SideBySide,4,12.75525,1.668208,14,61.85321,7.561297,12.0879668,1.961297,3.0219917,0.540092643
10,3,SideBySide,4,2.194885,1.639553,4,1.558655,1.685802,1.5390638,0.085802,0.38476595,0.4214505
11,2,FacetoFaceIntersect,0,0,0,23,107.6127,9.414758,0,0.214758,0,0.409337304
11,3,FacetoFaceIntersect,9,116.2456,3.439658,37,280.0927,16.4147,114.8697368,1.6147,12.76330409,0.443640541
11,2,FaceToFaceNoIntersect,8,13.74088,2.956461,6,7.822999,2.912245,12.5582956,0.512245,1.56978695,0.485374167
11,3,FaceToFaceNoIntersect,2,0.4591675,0.7708004,17,40.26151,7.292305,0.15084734,0.492305,0.07542367,0.428959118
11,2,SideBySide,5,3.160111,2.18757,12,14.38438,6.035156,2.285083,1.235156,0.4570166,0.502929667
11,3,SideBySide,1,1.810211,0.4065179,13,12.41723,6.413698,1.64760384,1.213698,1.64760384,0.493361385
11,2,Angled90,7,3.744339,2.877704,25,36.55702,12.9995,2.5932574,2.9995,0.370465343,0.51998
11,3,Angled90,4,7.40799,1.614257,28,32.34845,13.93553,6.7622872,2.73553,1.6905718,0.4976975
11,2,CoupledView,1,0.2786255,0.3761491,4,6.431885,1.760895,0.12816586,0.160895,0.12816586,0.44022375
11,3,CoupledView,0,0,0,9,16.16556,3.799351,0,0.199351,0,0.422150111
12,2,SideBySide,23,56.70169,9.691513,8,14.02005,3.386196,52.8250848,0.186196,2.296742817,0.4232745
12,3,SideBySide,1,4.509705,0.4103142,15,12.82153,6.715985,4.34557932,0.715985,4.34557932,0.447732333
12,2,CoupledView,16,25.97406,6.200051,7,35.53085,3.085323,23.4940396,0.285323,1.468377475,0.440760429
12,3,CoupledView,2,7.420898,0.8179555,12,18.91809,4.450394,7.0937158,-0.349606,3.5468579,0.370866167
12,2,FacetoFaceIntersect,7,14.31039,2.920038,12,19.65799,5.132697,13.1423748,0.332697,1.877482114,0.42772475
12,3,FacetoFaceIntersect,2,0.9466553,0.8916492,43,74.94116,16.83577,0.58999562,-0.36423,0.29499781,0.391529535
12,2,Angled90,7,10.51227,3.548395,42,123.7816,21.34619,9.092912,4.54619,1.298987429,0.508242619
12,3,Angled90,8,14.78198,3.806752,17,20.86551,8.405751,13.2592792,1.605751,1.6574099,0.494455941
12,2,FaceToFaceNoIntersect,0,0,0,21,22.2675,9.465667,0,1.065667,0,0.450746048
12,3,FaceToFaceNoIntersect,3,30.07111,1.464226,6,6.374511,2.26964,29.4854196,-0.13036,9.8284732,0.378273333
2,2,SideBySide,3,240.4703,1.672019,11,7.141296,4.857105,239.8014924,0.457105,79.9338308,0.441555
2,3,SideBySide,0,0,0,14,250.4828,6.736608,0,1.136608,0,0.481186286
2,2,CoupledView,4,240.7211,1.879077,6,6.613311,2.473311,239.9694692,0.073311,59.9923673,0.4122185
2,3,CoupledView,1,0.5144043,0.5597132,2,148.573,1.360245,0.29051902,0.560245,0.29051902,0.6801225
2,2,FacetoFaceIntersect,3,240.7637,1.590734,18,34.30331,9.55527,240.1274064,2.35527,80.0424688,0.530848333
2,3,FacetoFaceIntersect,1,0.2090454,0.4226514,19,187.2579,7.677444,0.03998484,0.077444,0.03998484,0.404076
2,2,Angled90,2,157.6763,1.21878,51,88.66913,25.30288,157.188788,4.90288,78.594394,0.496134902
2,3,Angled90,10,22.70612,5.256486,12,201.7542,5.209476,20.6035256,0.409476,2.06035256,0.434123
2,2,FaceToFaceNoIntersect,1,158.2761,0.875124,25,30.37791,12.15405,157.9260504,2.15405,157.9260504,0.486162
2,3,FaceToFaceNoIntersect,2,9.189545,0.9509325,2,167.5356,1.608017,8.809172,0.808017,4.404586,0.8040085
3,2,Angled90,14,256.0269,5.721925,20,301.5843,17.53879,253.73813,9.53879,18.12415214,0.8769395
3,3,Angled90,14,266.8074,8.709082,55,345.0195,28.87622,263.3237672,6.87622,18.80884051,0.525022182
3,2,CoupledView,2,153.2028,0.8896598,7,168.797,4.969497,152.8469361,2.169497,76.42346804,0.709928143
3,3,CoupledView,21,291.5893,13.92554,12,252.5069,5.888808,286.019084,1.088808,13.61995638,0.490734
3,2,FaceToFaceNoIntersect,12,187.4991,6.081861,8,177.948,4.084987,185.0663556,0.884987,15.4221963,0.510623375
