User,taskID,role,condition,numberCollisionsDominant,timeCollisionsDominant,distanceDominant,numberCollisionsNotDominant,timeCollisionsNotDominant,distanceNotDominant
10,2,dominant,Angled90,20,32.20764,8.83543,,,
10,3,dominant,Angled90,2,1.838012,1.101293,,,
10,2,dominant,FaceToFaceNoIntersect,13,249.1729,5.415555,,,
10,3,dominant,FaceToFaceNoIntersect,1,0.3071289,0.4431214,,,
10,2,dominant,CoupledView,1,8.5065,0.5709115,,,
10,3,dominant,CoupledView,1,0.724823,0.6007999,,,
10,2,dominant,FacetoFaceIntersect,1,0.9745331,0.3942311,,,
10,3,dominant,FacetoFaceIntersect,11,27.55051,4.91421,,,
10,2,dominant,SideBySide,4,12.75525,1.668208,,,
10,3,dominant,SideBySide,4,2.194885,1.639553,,,
11,2,dominant,FacetoFaceIntersect,0,0,0,,,
11,3,dominant,FacetoFaceIntersect,9,116.2456,3.439658,,,
11,2,dominant,FaceToFaceNoIntersect,8,13.74088,2.956461,,,
11,3,dominant,FaceToFaceNoIntersect,2,0.4591675,0.7708004,,,
11,2,dominant,SideBySide,5,3.160111,2.18757,,,
11,3,dominant,SideBySide,1,1.810211,0.4065179,,,
11,2,dominant,Angled90,7,3.744339,2.877704,,,
11,3,dominant,Angled90,4,7.40799,1.614257,,,
11,2,dominant,CoupledView,1,0.2786255,0.3761491,,,
11,3,dominant,CoupledView,0,0,0,,,
12,2,dominant,SideBySide,23,56.70169,9.691513,,,
12,3,dominant,SideBySide,1,4.509705,0.4103142,,,
12,2,dominant,CoupledView,16,25.97406,6.200051,,,
12,3,dominant,CoupledView,2,7.420898,0.8179555,,,
12,2,dominant,FacetoFaceIntersect,7,14.31039,2.920038,,,
12,3,dominant,FacetoFaceIntersect,2,0.9466553,0.8916492,,,
12,2,dominant,Angled90,7,10.51227,3.548395,,,
12,3,dominant,Angled90,8,14.78198,3.806752,,,
12,2,dominant,FaceToFaceNoIntersect,0,0,0,,,
12,3,dominant,FaceToFaceNoIntersect,3,30.07111,1.464226,,,
2,2,dominant,SideBySide,3,240.4703,1.672019,,,
2,3,dominant,SideBySide,0,0,0,,,
2,2,dominant,CoupledView,4,240.7211,1.879077,,,
2,3,dominant,CoupledView,1,0.5144043,0.5597132,,,
2,2,dominant,FacetoFaceIntersect,3,240.7637,1.590734,,,
2,3,dominant,FacetoFaceIntersect,1,0.2090454,0.4226514,,,
2,2,dominant,Angled90,2,157.6763,1.21878,,,
2,3,dominant,Angled90,10,22.70612,5.256486,,,
2,2,dominant,FaceToFaceNoIntersect,1,158.2761,0.875124,,,
2,3,dominant,FaceToFaceNoIntersect,2,9.189545,0.9509325,,,
3,2,dominant,Angled90,14,256.0269,5.721925,,,
3,3,dominant,Angled90,14,266.8074,8.709082,,,
3,2,dominant,CoupledView,2,153.2028,0.8896598,,,
3,3,dominant,CoupledView,21,291.5893,13.92554,,,
3,2,dominant,FaceToFaceNoIntersect,12,187.4991,6.081861,,,
3,3,dominant,FaceToFaceNoIntersect,12,161.63,5.826879,,,
3,2,dominant,SideBySide,5,5.205856,2.104197,,,
3,3,dominant,SideBySide,3,94.22651,1.582069,,,
3,2,dominant,FacetoFaceIntersect,3,1.154831,1.083877,,,
3,3,dominant,FacetoFaceIntersect,3,189.9639,1.947178,,,
0,2,dominant,FacetoFaceIntersect,0,0,0,,,
