Id,Condition,Dominant,TimeInsideGazeBounds,TimeOutsideGazeBounds,TotalTime,PercentageInsideGazeBounds,PercentageOutsideGazeBounds
19,Angled90,P2,True,22.87781,216.3688,239.2466,9.562439,90.43756
20,Angled90,P2,True,60.55872,178.2964,238.8551,25.35375,74.64626
19,FaceToFaceNoIntersect,P2,True,33.23471,163.2694,196.5042,16.91298,83.08702
20,FaceToFaceNoIntersect,P2,True,55.41403,140.7204,196.1345,28.25308,71.74692
19,CoupledView,P2,True,18.22183,110.2173,128.4392,14.18713,85.81287
20,CoupledView,P2,True,36.10562,91.96918,128.0748,28.19104,71.80896
19,FacetoFaceIntersect,P2,True,19.63123,214.3237,233.9549,8.39103,91.60897
20,FacetoFaceIntersect,P2,True,28.48462,204.1699,232.6545,12.24331,87.75669
19,SideBySide,P2,True,6.405884,106.7336,113.1395,5.661936,94.33807
20,SideBySide,P2,True,12.20538,100.524,112.7294,10.82715,89.17285
21,FacetoFaceIntersect,P2,True,52.08374,175.7327,227.8164,22.86216,77.13785
22,FacetoFaceIntersect,P2,True,60.31561,167.142,227.4576,26.51729,73.4827
21,FaceToFaceNoIntersect,P2,True,19.60495,68.13022,87.73517,22.3456,77.6544
22,FaceToFaceNoIntersect,P2,True,34.07114,53.37204,87.44318,38.96375,61.03625
21,SideBySide,P2,True,14.11542,81.63345,95.74887,14.74212,85.25787
22,SideBySide,P2,True,20.35336,75.52191,95.87527,21.229,78.771
21,Angled90,P2,True,11.46216,92.89764,104.3598,10.98331,89.01669
22,Angled90,P2,True,21.77249,82.40207,104.1746,20.90001,79.09999
21,CoupledView,P2,True,13.2995,60.62112,73.92062,17.9916,82.00841
22,CoupledView,P2,True,32.14005,41.53836,73.67841,43.62207,56.37793
23,SideBySide,P2,True,40.7583,197.9633,238.7216,17.07357,82.92643
24,SideBySide,P2,True,35.9483,202.9407,238.889,15.04812,84.95188
23,CoupledView,P2,True,48.12805,115.3857,163.5138,29.43363,70.56637
24,CoupledView,P2,True,34.9989,128.3467,163.3456,21.42628,78.57372
23,FacetoFaceIntersect,P2,True,69.00696,168.2985,237.3055,29.07938,70.92062
24,FacetoFaceIntersect,P2,True,66.98157,170.1273,237.1088,28.24929,71.75071
23,Angled90,P2,True,26.9379,128.7118,155.6497,17.30675,82.69325
24,Angled90,P2,True,36.10291,119.4798,155.5827,23.20496,76.79504
23,FaceToFaceNoIntersect,P2,True,19.30838,105.4898,124.7982,15.47168,84.52832
24,FaceToFaceNoIntersect,P2,True,49.94211,75.01227,124.9544,39.96827,60.03173
3,SideBySide,P2,True,40.15411,198.2203,238.3744,16.84498,83.15502
4,SideBySide,P2,True,61.07446,177.6602,238.7346,25.58257,74.41743
3,CoupledView,P2,True,21.33783,119.7957,141.1336,15.11889,84.88111
4,CoupledView,P2,True,52.26205,88.9957,141.2578,36.99765,63.00235
3,FacetoFaceIntersect,P2,True,7.36438,156.1028,163.4672,4.505113,95.49489
4,FacetoFaceIntersect,P2,True,33.63629,130.1,163.7363,20.54297,79.45703
3,Angled90,P2,True,24.93164,165.1039,190.0356,13.11946,86.88054
4,Angled90,P2,True,44.92529,145.1685,190.0938,23.63322,76.36678
3,FaceToFaceNoIntersect,P2,True,12.26746,155.1836,167.4511,7.325994,92.674
4,FaceToFaceNoIntersect,P2,True,34.24054,132.7242,166.9647,20.50765,79.49235
5,Angled90,P2,True,19.04675,219.5391,238.5858,7.983188,92.01682
6,Angled90,P2,True,34.9884,203.2739,238.2623,14.68482,85.31518
5,CoupledView,P2,True,39.4241,189.2123,228.6364,17.24314,82.75686
6,CoupledView,P2,True,59.30649,168.625,227.9315,26.01943,73.98057
5,FaceToFaceNoIntersect,P2,True,26.70154,123.4325,150.1341,17.78513,82.21487
6,FaceToFaceNoIntersect,P2,True,26.92349,122.5983,149.5218,18.0064,81.9936
5,SideBySide,P2,True,10.27701,77.70261,87.97961,11.68112,88.31888
6,SideBySide,P2,True,6.299438,81.69821,87.99765,7.158644,92.84135
5,FacetoFaceIntersect,P2,True,38.02618,148.1464,186.1726,20.42523,79.57477
6,FacetoFaceIntersect,P2,True,30.9895,154.935,185.9245,16.66779,83.33221
7,FaceToFaceNoIntersect,P1,False,0,0,0,NaN,NaN
8,FaceToFaceNoIntersect,P1,False,0,0,0,NaN,NaN
7,FaceToFaceNoIntersect,P2,True,21.46771,217.8794,239.3471,8.96928,91.03072
8,FaceToFaceNoIntersect,P2,True,89.1554,149.4377,238.5931,37.36713,62.63287
7,FacetoFaceIntersect,P2,True,13.93393,145.4138,159.3477,8.744353,91.25565
8,FacetoFaceIntersect,P2,True,50.39978,108.0313,158.4311,31.81179,68.18821
7,Angled90,P2,True,29.08038,129.9174,158.9977,18.28981,81.71019
8,Angled90,P2,True,52.04642,106.3331,158.3795,32.86184,67.13816
7,SideBySide,P2,True,12.2757,156.2062,168.4819,7.286063,92.71394
8,SideBySide,P2,True,27.38165,140.4204,167.8021,16.31783,83.68217
7,CoupledView,P2,True,60.8298,148.9987,209.8286,28.99024,71.00976
8,CoupledView,P2,True,62.02612,147.7273,209.7534,29.57097,70.42903
9,SideBySide,P2,True,53.86557,180.0366,233.9021,23.02911,76.97089
10,SideBySide,P2,True,49.84528,184.0626,233.9078,21.30979,78.69021
9,FacetoFaceIntersect,P2,True,27.56235,97.01044,124.5728,22.1255,77.8745
10,FacetoFaceIntersect,P2,True,36.37921,88.32169,124.7009,29.17318,70.82683
9,CoupledView,P2,True,10.23199,40.26331,50.4953,20.26326,79.73674
10,CoupledView,P2,True,9.981079,35.13776,45.11884,22.12176,77.87824
9,CoupledView,P2,True,23.69714,116.6422,140.3393,16.88561,83.1144
10,CoupledView,P2,True,26.32242,113.5726,139.895,18.81584,81.18416
9,FaceToFaceNoIntersect,P2,True,13.53799,123.5271,137.0651,9.877055,90.12295
10,FaceToFaceNoIntersect,P2,True,21.26575,115.4166,136.6824,15.55851,84.44148
9,Angled90,P2,True,12.55522,77.99356,90.54878,13.8657,86.1343
10,Angled90,P2,True,19.09656,71.04765,90.14421,21.18445,78.81554
11,CoupledView,P2,True,23.45874,173.9014,197.3602,11.88626,88.11374
12,CoupledView,P2,True,49.74213,147.2217,196.9639,25.25444,74.74556
11,Angled90,P2,True,11.71756,196.0169,207.7344,5.640644,94.35936
12,Angled90,P2,True,70.0383,137.1823,207.2206,33.79892,66.20108
