Id,Condition,Dominant,TimeInsideGazeBounds,TimeOutsideGazeBounds,TotalTime,PercentageInsideGazeBounds,PercentageOutsideGazeBounds,,,,,,,,,,,,,,,,,,,,,
3,Angled90,P2,TRUE,60.4371,129.7642,190.2013,31.77533,68.22467,,TimeInsideGazeBounds,Angled90,60.4371,,TimeOutsideGazeBounds,Angled90,129.7642,,TotalTime,Angled90,190.2013,,PercentageInsideGazeBounds,Angled90,31.77533,,PercentageOutsideGazeBounds,Angled90,68.22467
4,Angled90,P2,TRUE,67.34222,122.8342,190.1765,35.41039,64.58961,,TimeInsideGazeBounds,Angled90,67.34222,,TimeOutsideGazeBounds,Angled90,122.8342,,TotalTime,Angled90,190.1765,,PercentageInsideGazeBounds,Angled90,35.41039,,PercentageOutsideGazeBounds,Angled90,64.58961
5,Angled90,P2,TRUE,69.93451,168.8175,238.752,29.29169,70.70831,,TimeInsideGazeBounds,Angled90,69.93451,,TimeOutsideGazeBounds,Angled90,168.8175,,TotalTime,Angled90,238.752,,PercentageInsideGazeBounds,Angled90,29.29169,,PercentageOutsideGazeBounds,Angled90,70.70831
6,Angled90,P2,TRUE,65.08936,173.3403,238.4297,27.29918,72.70082,,TimeInsideGazeBounds,Angled90,65.08936,,TimeOutsideGazeBounds,Angled90,173.3403,,TotalTime,Angled90,238.4297,,PercentageInsideGazeBounds,Angled90,27.29918,,PercentageOutsideGazeBounds,Angled90,72.70082
7,Angled90,P2,TRUE,48.35355,110.8442,159.1978,30.37325,69.62675,,TimeInsideGazeBounds,Angled90,48.35355,,TimeOutsideGazeBounds,Angled90,110.8442,,TotalTime,Angled90,159.1978,,PercentageInsideGazeBounds,Angled90,30.37325,,PercentageOutsideGazeBounds,Angled90,69.62675
8,Angled90,P2,TRUE,89.42661,69.51251,158.9391,56.26469,43.73531,,TimeInsideGazeBounds,Angled90,89.42661,,TimeOutsideGazeBounds,Angled90,69.51251,,TotalTime,Angled90,158.9391,,PercentageInsideGazeBounds,Angled90,56.26469,,PercentageOutsideGazeBounds,Angled90,43.73531
9,Angled90,P2,TRUE,27.10332,63.52661,90.62993,29.90548,70.09452,,TimeInsideGazeBounds,Angled90,27.10332,,TimeOutsideGazeBounds,Angled90,63.52661,,TotalTime,Angled90,90.62993,,PercentageInsideGazeBounds,Angled90,29.90548,,PercentageOutsideGazeBounds,Angled90,70.09452
10,Angled90,P2,TRUE,30.83588,59.5609,90.39677,34.1117,65.8883,,TimeInsideGazeBounds,Angled90,30.83588,,TimeOutsideGazeBounds,Angled90,59.5609,,TotalTime,Angled90,90.39677,,PercentageInsideGazeBounds,Angled90,34.1117,,PercentageOutsideGazeBounds,Angled90,65.8883
11,Angled90,P2,TRUE,33.80115,173.882,207.6831,16.27535,83.72466,,TimeInsideGazeBounds,Angled90,33.80115,,TimeOutsideGazeBounds,Angled90,173.882,,TotalTime,Angled90,207.6831,,PercentageInsideGazeBounds,Angled90,16.27535,,PercentageOutsideGazeBounds,Angled90,83.72466
12,Angled90,P2,TRUE,95.65308,111.9314,207.5845,46.07911,53.92089,,TimeInsideGazeBounds,Angled90,95.65308,,TimeOutsideGazeBounds,Angled90,111.9314,,TotalTime,Angled90,207.5845,,PercentageInsideGazeBounds,Angled90,46.07911,,PercentageOutsideGazeBounds,Angled90,53.92089
