Id,Condition,Dominant,TimeInsideGazeBounds,TimeSecondzone,TimeOutsideGazeBounds,TotalTime,PercentageInsideGazeBounds,PercentageSecondZone,PercentageOutsideGazeBounds
19,Angled90,True,22.87781,125.8685,19.05957,167.8058,13.6335,75.00839,11.35811
20,Angled90,True,60.55872,23.34534,0.7247925,84.62885,71.55801,27.58556,0.8564367
19,FaceToFaceNoIntersect,True,33.23471,35.52594,21.23154,89.99219,36.93066,39.47669,23.59264
20,FaceToFaceNoIntersect,True,55.41403,37.93661,0.5014038,93.85205,59.04403,40.42172,0.5342492
19,CoupledView,True,18.22183,31.4624,14.08694,63.77118,28.57377,49.3364,22.08983
20,CoupledView,True,36.10562,23.87747,7.657501,67.64059,53.37863,35.30051,11.32087
19,FacetoFaceIntersect,True,19.63123,21.63654,43.2128,84.48056,23.23757,25.61126,51.15118
20,FacetoFaceIntersect,True,28.48462,70.06064,13.9093,112.4546,25.32989,62.30129,12.36882
19,SideBySide,True,6.405884,32.63477,44.54984,83.59048,7.663413,39.04124,53.29534
20,SideBySide,True,12.20538,46.05502,8.311157,66.57156,18.33423,69.18123,12.48455
21,FacetoFaceIntersect,True,52.08374,37.1673,35.05255,124.3036,41.90043,29.90042,28.19915
22,FacetoFaceIntersect,True,60.31561,54.79523,10.13635,125.2472,48.15726,43.74966,8.093078
21,FaceToFaceNoIntersect,True,19.60495,12.69571,9.536438,41.8371,46.86021,30.34558,22.79422
22,FaceToFaceNoIntersect,True,34.07114,34.07788,2.256378,70.4054,48.39279,48.40237,3.204837
21,SideBySide,True,14.11542,13.14471,38.39706,65.6572,21.49866,20.02022,58.48112
22,SideBySide,True,20.35336,37.07324,2.714172,60.14078,33.84286,61.6441,4.513031
21,Angled90,True,11.46216,51.71652,12.11255,75.29123,15.22376,68.68864,16.0876
22,Angled90,True,21.77249,40.52698,8.089233,70.3887,30.9318,57.57597,11.49223
21,CoupledView,True,13.2995,17.43051,10.91492,41.64493,31.93546,41.85506,26.20947
22,CoupledView,True,32.14005,15.56689,0.1673889,47.87433,67.13419,32.51616,0.3496423
23,SideBySide,True,40.7583,36.29681,66.35217,143.4073,28.42136,25.3103,46.26834
24,SideBySide,True,35.9483,46.18073,15.75958,97.88861,36.72368,47.17681,16.09951
23,CoupledView,True,48.12805,34.18115,1.446655,83.75586,57.46231,40.81046,1.727229
24,CoupledView,True,34.9989,31.4375,4.622253,71.05865,49.25354,44.24162,6.504842
23,FacetoFaceIntersect,True,69.00696,19.83685,17.26331,106.1071,65.03519,18.69512,16.2697
24,FacetoFaceIntersect,True,66.98157,75.40424,15.46948,157.8553,42.43226,47.76795,9.799788
23,Angled90,True,26.9379,64.35101,15.98227,107.2712,25.11196,59.9891,14.89894
24,Angled90,True,36.10291,29.26566,3.451691,68.82025,52.45971,42.52477,5.015516
23,FaceToFaceNoIntersect,True,19.30838,18.54559,12.18155,50.03552,38.58934,37.06485,24.3458
24,FaceToFaceNoIntersect,True,49.94211,5.427917,0.8488159,56.21884,88.83517,9.65498,1.509842
3,SideBySide,True,40.15411,68.68146,67.84009,176.6757,22.72759,38.87432,38.39809
4,SideBySide,True,61.07446,66.44159,0,127.5161,47.89551,52.10449,0
3,CoupledView,True,21.33783,50.85532,31.91101,104.1042,20.49662,48.85042,30.65297
4,CoupledView,True,52.26205,57.0874,7.129333,116.4788,44.8683,49.01099,6.120714
3,FacetoFaceIntersect,True,7.36438,20.73212,65.33035,93.42685,7.882509,22.19075,69.92674
4,FacetoFaceIntersect,True,33.63629,82.00116,22.49359,138.131,24.351,59.36476,16.28424
3,Angled90,True,24.93164,49.81833,36.17068,110.9207,22.47701,44.91348,32.60951
4,Angled90,True,44.92529,32.73596,18.99207,96.65332,46.48086,33.86946,19.64968
3,FaceToFaceNoIntersect,True,12.26746,22.00653,35.75247,70.02646,17.51832,31.42602,51.05566
4,FaceToFaceNoIntersect,True,34.24054,22.08401,4.759827,61.08438,56.05449,36.15329,7.792215
5,Angled90,True,19.04675,64.09753,29.28381,112.4281,16.94127,57.01202,26.0467
6,Angled90,True,34.9884,37.6037,8.689575,81.28168,43.04587,46.26344,10.69069
5,CoupledView,True,39.4241,65.60532,31.57632,136.6057,28.85977,48.0253,23.11493
6,CoupledView,True,59.30649,82.33795,22.87604,164.5205,36.04809,50.04724,13.90467
5,FaceToFaceNoIntersect,True,26.70154,18.38269,39.15326,84.23749,31.69793,21.82246,46.47961
6,FaceToFaceNoIntersect,True,26.92349,19.76736,6.781189,53.47205,50.35059,36.96766,12.68175
5,SideBySide,True,10.27701,30.68777,10.74799,51.71277,19.87325,59.34274,20.78401
6,SideBySide,True,6.299438,8.033966,0.5851135,14.91852,42.22563,53.85231,3.922062
5,FacetoFaceIntersect,True,38.02618,30.54868,21.65216,90.22702,42.14501,33.85757,23.99742
6,FacetoFaceIntersect,True,30.9895,21.4859,6.08197,58.55737,52.9216,36.69205,10.38634
7,FaceToFaceNoIntersect,False,0,0,0,0,NaN,NaN,NaN
8,FaceToFaceNoIntersect,False,0,0,0,0,NaN,NaN,NaN
7,FaceToFaceNoIntersect,True,21.46771,28.4321,45.40002,95.29984,22.52649,29.83436,47.63914
8,FaceToFaceNoIntersect,True,89.1554,16.97089,5.217224,111.3435,80.07238,15.24192,4.685701
7,FacetoFaceIntersect,True,13.93393,19.08594,23.59409,56.61395,24.61218,33.71243,41.67539
8,FacetoFaceIntersect,True,50.39978,22.07794,1.572296,74.05002,68.06181,29.8149,2.123289
7,Angled90,True,29.08038,29.54431,22.35745,80.98215,35.90962,36.4825,27.60788
8,Angled90,True,52.04642,39.24237,0.8905029,92.17929,56.46216,42.57178,0.9660553
7,SideBySide,True,12.2757,28.10834,78.36902,118.7531,10.33716,23.66957,65.99326
8,SideBySide,True,27.38165,42.70862,3.075195,73.16547,37.42429,58.37265,4.203069
7,CoupledView,True,60.8298,41.05026,13.75401,115.6341,52.60543,35.50014,11.89443
8,CoupledView,True,62.02612,26.42548,6.556702,95.0083,65.28495,27.81386,6.901188
9,SideBySide,True,53.86557,36.39828,65.14661,155.4105,34.66019,23.42074,41.91906
10,SideBySide,True,49.84528,91.49738,36.85181,178.1945,27.9724,51.34692,20.68067
9,FacetoFaceIntersect,True,27.56235,14.91034,15.67261,58.14529,47.40254,25.64324,26.95421
10,FacetoFaceIntersect,True,36.37921,31.76907,16.21915,84.36743,43.11997,37.65561,19.22442
9,CoupledView,True,10.23199,6.809387,14.25641,31.29779,32.69239,21.75677,45.55085
10,CoupledView,True,9.981079,19.422,4.788513,34.19159,29.19162,56.80344,14.00494
9,CoupledView,True,23.69714,22.45836,34.00906,80.16457,29.56062,28.01532,42.42406
10,CoupledView,True,26.32242,45.84807,19.82455,91.99504,28.61287,49.83754,21.54959
9,FaceToFaceNoIntersect,True,13.53799,17.79001,37.67068,68.99869,19.62066,25.78311,54.59623
10,FaceToFaceNoIntersect,True,21.26575,28.38721,22.95798,72.61093,29.28725,39.09495,31.6178
9,Angled90,True,12.55522,19.07536,21.33989,52.97047,23.7023,36.01131,40.28638
10,Angled90,True,19.09656,16.093,0.3613892,35.55095,53.71603,45.26743,1.016539
11,CoupledView,True,23.45874,18.62787,17.94513,60.03174,39.07723,31.03003,29.89274
12,CoupledView,True,49.74213,24.1795,3.145996,77.06763,64.54348,31.3744,4.082124
11,Angled90,True,11.71756,36.33682,66.20676,114.2611,10.25507,31.80156,57.94337
12,Angled90,True,70.0383,29.23608,0.1665955,99.44098,70.43203,29.40044,0.167532
11,SideBySide,True,29.29877,40.47491,67.21362,136.9873,21.38794,29.54647,49.06559
12,SideBySide,TRUE,44.81375,54.6994,0.3335876,99.84674,44.88254,54.78336,0.3340997
11,FaceToFaceNoIntersect,True,20.77127,25.85519,20.88028,67.50674,30.76918,38.30016,30.93066
12,FaceToFaceNoIntersect,True,43.07254,20.49405,1.352936,64.91953,66.34759,31.56839,2.08402
11,FacetoFaceIntersect,True,13.41394,19.02087,26.60641,59.04123,22.71962,32.21626,45.06413
12,FacetoFaceIntersect,True,30.72842,30.02319,0,60.75162,50.58042,49.41958,0
13,FaceToFaceNoIntersect,True,92.36743,26.16248,13.24963,131.7795,70.09239,19.85321,10.05439
14,FaceToFaceNoIntersect,True,62.61914,77.06744,6.933655,146.6202,42.70839,52.56262,4.728989
13,SideBySide,True,7.907349,13.60406,57.38773,78.89914,10.0221,17.24235,72.73555
