Id,Condition,Dominant,TimeInsideGazeBounds,TimeOutsideGazeBounds,TotalTime,PercentageInsideGazeBounds,PercentageOutsideGazeBounds
19,Angled90,P2,True,44.29333,194.34,238.6334,18.56125,81.43875
20,Angled90,P2,True,22.31793,216.9041,239.222,9.329382,90.67062
19,FaceToFaceNoIntersect,P2,True,38.37979,199.8473,238.2271,16.11059,83.88941
20,FaceToFaceNoIntersect,P2,True,24.05162,215.2206,239.2723,10.05199,89.94801
19,CoupledView,P2,True,24.58267,166.0094,190.5921,12.89806,87.10194
20,CoupledView,P2,True,49.89819,140.9175,190.8157,26.14994,73.85006
19,FacetoFaceIntersect,P2,True,29.0448,209.7747,238.8195,12.16182,87.83818
20,FacetoFaceIntersect,P2,True,38.86093,199.9596,238.8205,16.27202,83.72798
19,SideBySide,P2,True,27.95874,200.2519,228.2107,12.25129,87.74871
20,SideBySide,P2,True,7.345566,221.4274,228.773,3.210854,96.78915
21,FacetoFaceIntersect,P2,True,73.97833,164.621,238.5993,31.00525,68.99474
22,FacetoFaceIntersect,P2,True,49.13449,189.7255,238.86,20.57042,79.42958
21,FaceToFaceNoIntersect,P2,True,36.5493,114.639,151.1883,24.17469,75.8253
22,FaceToFaceNoIntersect,P2,True,46.40359,104.9841,151.3876,30.65217,69.34783
21,SideBySide,P2,True,32.11703,64.34048,96.45752,33.29656,66.70344
22,SideBySide,P2,True,7.52652,89.36623,96.89275,7.767888,92.23211
21,Angled90,P2,True,63.79913,88.51015,152.3093,41.88788,58.11212
22,Angled90,P2,True,13.53519,139.6953,153.2305,8.83322,91.16678
21,CoupledView,P2,True,35.79276,73.39694,109.1897,32.78034,67.21966
22,CoupledView,P2,True,25.58258,84.03308,109.6157,23.33844,76.66157
23,SideBySide,P2,True,34.29044,196.1577,230.4481,14.87989,85.12011
24,SideBySide,P2,True,22.73682,208.0364,230.7732,9.852451,90.14755
23,CoupledView,P2,True,64.26648,136.8174,201.0839,31.96004,68.03996
24,CoupledView,P2,True,27.5022,173.7608,201.263,13.66481,86.33519
23,FacetoFaceIntersect,P2,True,35.57016,144.63,180.2002,19.73925,80.26075
24,FacetoFaceIntersect,P2,True,46.20648,133.7426,179.9491,25.67753,74.32246
23,Angled90,P2,True,36.88783,154.5156,191.4034,19.2723,80.72771
24,Angled90,P2,True,13.9099,177.9081,191.818,7.251613,92.74839
23,FaceToFaceNoIntersect,P2,True,61.03026,102.4617,163.4919,37.32922,62.67078
24,FaceToFaceNoIntersect,P2,True,39.38652,124.3307,163.7172,24.05766,75.94234
3,SideBySide,P2,True,66.86859,169.7521,236.6207,28.25982,71.74018
4,SideBySide,P2,True,10.52118,228.6706,239.1917,4.398638,95.60136
3,CoupledView,P2,True,52.50195,184.8935,237.3955,22.11582,77.88418
4,CoupledView,P2,True,70.05423,168.9254,238.9796,29.31389,70.68611
3,FacetoFaceIntersect,P2,True,22.68332,215.2395,237.9229,9.533896,90.4661
4,FacetoFaceIntersect,P2,True,20.13286,218.7693,238.9021,8.427241,91.57276
3,Angled90,P2,True,51.0089,103.2677,154.2766,33.06327,66.93673
4,Angled90,P2,True,10.00598,145.5255,155.5315,6.433413,93.56659
3,FaceToFaceNoIntersect,P2,True,53.4789,103.7149,157.1938,34.021,65.979
4,FaceToFaceNoIntersect,P2,True,41.39878,116.0436,157.4423,26.29457,73.70544
5,Angled90,P2,True,50.65964,187.2047,237.8643,21.2977,78.7023
6,Angled90,P2,True,11.48495,226.9459,238.4309,4.816891,95.18311
5,CoupledView,P2,True,42.15176,109.7271,151.8789,27.75354,72.24646
6,CoupledView,P2,True,28.32896,123.1479,151.4768,18.70185,81.29816
5,FaceToFaceNoIntersect,P2,True,33.8875,131.1582,165.0457,20.5322,79.4678
6,FaceToFaceNoIntersect,P2,True,30.81714,134.0048,164.822,18.69723,81.30277
5,SideBySide,P2,True,20.48577,125.3231,145.8089,14.04974,85.95026
6,SideBySide,P2,True,14.66463,131.0182,145.6828,10.06614,89.93386
5,FacetoFaceIntersect,P2,True,27.71928,114.5888,142.3081,19.47836,80.52164
6,FacetoFaceIntersect,P2,True,15.2863,127.1473,142.4336,10.73223,89.26778
7,FaceToFaceNoIntersect,P1,False,0,2.306885,2.306885,0,100
8,FaceToFaceNoIntersect,P1,False,1.72522,0,1.72522,100,0
7,FaceToFaceNoIntersect,P2,True,63.24478,162.4322,225.677,28.02447,71.97553
8,FaceToFaceNoIntersect,P2,True,19.5491,207.0669,226.616,8.626531,91.37347
7,FacetoFaceIntersect,P2,True,56.20403,149.5788,205.7828,27.31231,72.68769
8,FacetoFaceIntersect,P2,True,28.53796,177.3565,205.8945,13.86048,86.13952
7,Angled90,P2,True,54.27066,145.1636,199.4342,27.21231,72.78769
8,Angled90,P2,True,10.84154,189.4998,200.3413,5.411534,94.58846
7,SideBySide,P2,True,36.43333,153.6687,190.1021,19.16515,80.83485
8,SideBySide,P2,True,24.8656,165.651,190.5166,13.05167,86.94833
7,CoupledView,P2,True,29.34733,106.24,135.5873,21.6446,78.3554
8,CoupledView,P2,True,18.07326,117.543,135.6162,13.32677,86.67323
9,SideBySide,P2,True,40.97571,104.7299,145.7056,28.12226,71.87774
10,SideBySide,P2,True,16.19934,130.1981,146.3974,11.06532,88.93468
9,FacetoFaceIntersect,P2,True,33.37912,147.6095,180.9886,18.44266,81.55734
10,FacetoFaceIntersect,P2,True,38.03732,143.6727,181.7101,20.93298,79.06702
9,CoupledView,P2,True,13.60538,102.4456,116.051,11.72362,88.27638
10,CoupledView,P2,True,24.06458,92.16452,116.2291,20.70443,79.29557
9,CoupledView,P2,True,0.1871948,1.325806,1.513,12.37242,87.62758
10,CoupledView,P2,True,1.438202,0.1042023,1.542404,93.24416,6.755834
9,FaceToFaceNoIntersect,P2,True,22.55731,77.91901,100.4763,22.45038,77.54962
10,FaceToFaceNoIntersect,P2,True,21.27121,79.72047,100.9917,21.06234,78.93766
9,Angled90,P2,True,12.23669,79.57608,91.81277,13.32788,86.67212
10,Angled90,P2,True,5.549408,86.61511,92.16452,6.021198,93.97881
11,CoupledView,P2,True,83.20856,155.0787,238.2872,34.91944,65.08057
12,CoupledView,P2,True,48.12128,190.9999,239.1212,20.12422,79.87578
11,Angled90,P2,True,21.00757,217.945,238.9526,8.791523,91.20848
12,Angled90,P2,True,15.5767,223.6853,239.262,6.510312,93.48969
11,SideBySide,P2,True,40.29126,151.4868,191.778,21.00932,78.99068
12,SideBySide,P2,TRUE,18.43875,174.5918,193.0305,9.552247,90.44775
11,FaceToFaceNoIntersect,P2,True,38.92628,80.85408,119.7804,32.49805,67.50195
12,FaceToFaceNoIntersect,P2,True,16.76486,103.586,120.3508,13.92999,86.07001
11,FacetoFaceIntersect,P2,True,54.62832,151.7199,206.3482,26.47385,73.52615
12,FacetoFaceIntersect,P2,True,23.12759,184.1022,207.2298,11.16036,88.83964
13,FaceToFaceNoIntersect,P2,True,46.55554,192.0522,238.6078,19.51133,80.48868
14,FaceToFaceNoIntersect,P2,True,41.32071,197.4805,238.8012,17.30339,82.69661
13,SideBySide,P2,True,46.72862,128.2756,175.0042,26.70143,73.29857
14,SideBySide,P2,True,10.54282,164.9095,175.4523,6.008935,93.99107
13,Angled90,P2,True,39.99203,140.5141,180.5061,22.1555,77.8445
14,Angled90,P2,True,31.64148,149.3219,180.9634,17.48502,82.51498
13,FacetoFaceIntersect,P2,True,17.16226,136.2308,153.393,11.18842,88.81158
