Id,Condition,Dominant,TimeInsideGazeBounds,TimeOutsideGazeBounds,TotalTime,PercentageInsideGazeBounds,PercentageOutsideGazeBounds
19,Angled90,P2,True,108.8912,130.0442,238.9354,45.5735,54.4265
20,Angled90,P2,True,49.55176,189.6462,239.198,20.71579,79.28421
19,FaceToFaceNoIntersect,P2,True,130.7118,107.6566,238.3684,54.83606,45.16394
20,FaceToFaceNoIntersect,P2,True,46.93123,192.3757,239.3069,19.61131,80.38869
19,CoupledView,P2,True,66.27676,124.6711,190.9479,34.70935,65.29065
20,CoupledView,P2,True,67.78503,123.1416,190.9266,35.50319,64.49681
19,FacetoFaceIntersect,P2,True,50.6511,188.351,239.0021,21.19274,78.80726
20,FacetoFaceIntersect,P2,True,78.80778,160.1455,238.9533,32.98041,67.01958
19,SideBySide,P2,True,68.46461,159.5907,228.0553,30.02106,69.97894
20,SideBySide,P2,True,19.9478,208.7976,228.7454,8.720525,91.27947
21,FacetoFaceIntersect,P2,True,122.8793,115.8132,238.6925,51.48018,48.51982
22,FacetoFaceIntersect,P2,True,72.38229,166.4525,238.8348,30.30643,69.69357
21,FaceToFaceNoIntersect,P2,True,61.62093,89.70541,151.3263,40.72055,59.27945
22,FaceToFaceNoIntersect,P2,True,58.12503,93.28952,151.4146,38.38801,61.61199
21,SideBySide,P2,True,63.03941,33.69688,96.7363,65.16624,34.83376
22,SideBySide,P2,True,13.45531,83.52052,96.97583,13.87491,86.12509
21,Angled90,P2,True,94.12422,58.74709,152.8713,61.57089,38.42911
22,Angled90,P2,True,25.31391,128.0444,153.3583,16.50638,83.49362
21,CoupledView,P2,True,58.82339,50.61917,109.4426,53.74819,46.25181
22,CoupledView,P2,True,31.81949,77.79123,109.6107,29.02954,70.97046
23,SideBySide,P2,True,51.3186,179.1588,230.4774,22.26622,77.73378
24,SideBySide,P2,True,36.82413,194.0572,230.8813,15.94938,84.05062
23,CoupledView,P2,True,91.83963,109.2643,201.1039,45.66774,54.33226
24,CoupledView,P2,True,52.29745,149.0796,201.377,25.96992,74.03008
23,FacetoFaceIntersect,P2,True,52.41614,127.7572,180.1734,29.09206,70.90794
24,FacetoFaceIntersect,P2,True,65.73441,114.2336,179.968,36.5256,63.4744
23,Angled90,P2,True,70.3985,121.3438,191.7423,36.71516,63.28484
24,Angled90,P2,True,25.25627,166.5643,191.8206,13.16661,86.83339
23,FaceToFaceNoIntersect,P2,True,77.29282,86.53891,163.8317,47.17817,52.82183
24,FaceToFaceNoIntersect,P2,True,56.97635,106.8549,163.8313,34.77745,65.22255
3,SideBySide,P2,True,123.16,113.9388,237.0988,51.9446,48.0554
4,SideBySide,P2,True,27.4108,211.7852,239.196,11.45956,88.54044
3,CoupledView,P2,True,126.7137,111.1268,237.8404,53.27675,46.72325
4,CoupledView,P2,True,104.4297,134.8054,239.2351,43.65149,56.34851
3,FacetoFaceIntersect,P2,True,72.65077,165.4094,238.0602,30.51782,69.48218
4,FacetoFaceIntersect,P2,True,44.40134,194.5859,238.9872,18.57896,81.42104
3,Angled90,P2,True,86.18983,68.39169,154.5815,55.75688,44.24312
4,Angled90,P2,True,16.91348,138.6222,155.5357,10.87434,89.12566
3,FaceToFaceNoIntersect,P2,True,97.39436,59.87652,157.2709,61.92778,38.07222
4,FaceToFaceNoIntersect,P2,True,49.17178,108.4432,157.615,31.1974,68.8026
5,Angled90,P2,True,140.3343,98.14542,238.4797,58.84538,41.15462
6,Angled90,P2,True,24.03702,214.3799,238.417,10.08192,89.91808
5,CoupledView,P2,True,71.73901,80.19627,151.9353,47.21682,52.78318
6,CoupledView,P2,True,44.11855,107.4185,151.537,29.11404,70.88596
5,FaceToFaceNoIntersect,P2,True,63.32826,101.9301,165.2584,38.32075,61.67925
6,FaceToFaceNoIntersect,P2,True,41.10982,124.0232,165.133,24.89497,75.10503
5,SideBySide,P2,True,57.76845,88.04906,145.8175,39.61695,60.38305
6,SideBySide,P2,True,23.92194,121.8115,145.7334,16.41486,83.58514
5,FacetoFaceIntersect,P2,True,44.45045,97.93751,142.388,31.21784,68.78216
6,FacetoFaceIntersect,P2,True,32.34353,110.0966,142.4401,22.70675,77.29324
7,FaceToFaceNoIntersect,P1,False,0,2.306885,2.306885,0,100
8,FaceToFaceNoIntersect,P1,False,1.72522,0,1.72522,100,0
7,FaceToFaceNoIntersect,P2,True,111.0922,115.2228,226.3149,49.08743,50.91257
8,FaceToFaceNoIntersect,P2,True,32.0602,194.5993,226.6595,14.14465,85.85535
7,FacetoFaceIntersect,P2,True,81.05737,125.1705,206.2279,39.30476,60.69524
