Id,Condition,Dominant,TimeInsideGazeBounds,TimeSecondzone,TimeOutsideGazeBounds,TotalTime,PercentageInsideGazeBounds,PercentageSecondZone,PercentageOutsideGazeBounds
19,Angled90,True,44.86377,3622955,0,3623000,0.001238305,99.99876,0
20,Angled90,True,56.67535,2027778,0,2027834,0.002794871,99.99721,0
19,FaceToFaceNoIntersect,True,43.0425,3043414,0,3043457,0.001414264,99.99859,0
20,FaceToFaceNoIntersect,True,61.82091,689497.2,0,689559,0.008965282,99.99104,0
19,CoupledView,True,25.25146,1253517,0,1253542,0.002014409,99.99799,0
20,CoupledView,True,69.8468,639506.9,0,639576.8,0.01092079,99.98907,0
19,FacetoFaceIntersect,True,29.23923,241857.9,0,241887.1,0.01208796,99.98792,0
20,FacetoFaceIntersect,True,84.29045,642474,0,642558.3,0.01311795,99.98688,0
19,SideBySide,True,45.73793,1894434,0,1894479,0.002414274,99.99758,0
20,SideBySide,True,30.17618,375480.1,0,375510.3,0.008036045,99.99196,0
21,FacetoFaceIntersect,True,92.25967,2581140,0,2581232,0.00357425,99.99643,0
22,FacetoFaceIntersect,True,82.29675,1333684,0,1333766,0.006170254,99.99384,0
21,FaceToFaceNoIntersect,True,48.92702,613555.3,0,613604.2,0.00797371,99.99203,0
22,FaceToFaceNoIntersect,True,64.29036,383612,0,383676.3,0.01675641,99.98325,0
21,SideBySide,True,33.71292,632177.6,0,632211.3,0.005332541,99.99467,0
22,SideBySide,True,13.99962,166380.2,0,166394.2,0.008413528,99.99158,0
21,Angled90,True,65.77613,451963.2,0,452028.9,0.01455131,99.98545,0
22,Angled90,True,30.98099,205838,0,205869,0.01504889,99.98495,0
21,CoupledView,True,35.89017,651902.2,0,651938.1,0.00550515,99.9945,0
22,CoupledView,True,41.97144,238114,0,238156,0.0176235,99.98238,0
23,SideBySide,True,116.2534,2095449,0,2095565,0.005547591,99.99445,0
24,SideBySide,True,55.29361,918137.1,0,918192.4,0.006022007,99.99397,0
23,CoupledView,True,75.86285,2170964,0,2171040,0.00349431,99.99651,0
24,CoupledView,True,52.78564,1237986,0,1238039,0.004263649,99.99574,0
23,FacetoFaceIntersect,True,37.06216,662421.5,0,662458.6,0.005594639,99.99441,0
24,FacetoFaceIntersect,True,64.6395,1151652,0,1151716,0.00561245,99.99439,0
23,Angled90,True,42.28902,1085764,0,1085806,0.003894713,99.99611,0
24,Angled90,True,33.83173,417994.2,0,418028.1,0.008093171,99.99191,0
23,FaceToFaceNoIntersect,True,61.03026,368588.7,0,368649.8,0.01655508,99.98344,0
24,FaceToFaceNoIntersect,True,59.26883,466513.3,0,466572.6,0.01270302,99.9873,0
3,SideBySide,True,86.13885,2817454,0,2817540,0.003057236,99.99694,0
4,SideBySide,True,51.53787,1093991,0,1094042,0.004710776,99.99529,0
3,CoupledView,True,90.16068,2952232,0,2952322,0.00305389,99.99694,0
4,CoupledView,True,103.6455,1620616,0,1620720,0.006395029,99.99361,0
3,FacetoFaceIntersect,True,100.5177,1977412,0,1977512,0.005083039,99.99492,0
4,FacetoFaceIntersect,True,59.83359,753221.3,0,753281.1,0.007943063,99.99206,0
3,Angled90,True,59.02713,1022243,0,1022302,0.005773944,99.99423,0
4,Angled90,True,21.39409,220822.1,0,220843.5,0.009687445,99.99031,0
3,FaceToFaceNoIntersect,True,79.82996,937514.6,0,937594.4,0.008514338,99.99149,0
4,FaceToFaceNoIntersect,True,56.11324,133852.2,0,133908.3,0.04190423,99.9581,0
5,Angled90,True,53.20804,2976412,0,2976466,0.001787625,99.99821,0
6,Angled90,True,46.66815,570539.6,0,570586.3,0.008178982,99.99182,0
5,CoupledView,True,43.46167,974574.9,0,974618.4,0.004459353,99.99554,0
6,CoupledView,True,52.4774,418425.5,0,418478,0.01254006,99.98746,0
5,FaceToFaceNoIntersect,True,36.39333,871299.7,0,871336.1,0.004176727,99.99583,0
6,FaceToFaceNoIntersect,True,48.76071,357444.9,0,357493.7,0.0136396,99.98637,0
