Id,Condition,Dominant,TimeInsideGazeBounds,TimeSecondzone,TimeOutsideGazeBounds,TotalTime,PercentageInsideGazeBounds,PercentageSecondZone,PercentageOutsideGazeBounds
19,Angled90,True,44.29333,66.28558,0.5704346,111.1494,39.85028,59.6365,0.5132145,1
20,Angled90,True,22.31793,36.00397,34.35742,92.67932,24.08081,38.8479,37.07129,9
19,FaceToFaceNoIntersect,True,38.37979,126.3553,4.662704,169.3978,22.6566,74.59088,2.752517,10
20,FaceToFaceNoIntersect,True,24.05162,31.85748,37.76929,93.67839,25.67467,34.00729,40.31804,13
19,CoupledView,True,24.58267,45.20828,0.6687927,70.45975,34.88896,64.16186,0.9491841,2
20,CoupledView,True,49.89819,25.50333,19.94861,95.35013,52.33154,26.74703,20.92143,8
19,FacetoFaceIntersect,True,29.0448,23.98514,0.1944351,53.22437,54.57048,45.06421,0.3653122,3
20,FacetoFaceIntersect,True,38.86093,48.76777,45.42952,133.0582,29.20596,36.65145,34.14259,16
19,SideBySide,True,27.95874,84.82289,17.77919,130.5608,21.41434,64.9681,13.61755,18
20,SideBySide,True,7.345566,18.36238,22.83061,48.53856,15.13346,37.8305,47.03603,6
21,FacetoFaceIntersect,True,73.97833,61.78912,18.28134,154.0488,48.02266,40.1101,11.86724,11
22,FacetoFaceIntersect,True,49.13449,34.03464,33.16226,116.3314,42.23666,29.25662,28.50672,13
21,FaceToFaceNoIntersect,True,36.5493,27.28526,12.37772,76.21228,47.95723,35.80166,16.2411,8
22,FaceToFaceNoIntersect,True,46.40359,18.94754,17.88676,83.2379,55.74816,22.76312,21.48873,8
21,SideBySide,True,32.11703,38.57639,1.595886,72.28931,44.42847,53.36389,2.207638,4
22,SideBySide,True,7.52652,9.952011,6.473099,23.95163,31.42383,41.55045,27.02571,2
21,Angled90,True,63.79913,31.67016,1.977005,97.44629,65.47107,32.50012,2.028815,3
22,Angled90,True,13.53519,15.52297,17.4458,46.50396,29.10545,33.37989,37.51466,7
21,CoupledView,True,35.79276,24.72641,0.09741211,60.61658,59.0478,40.7915,0.1607021,1
22,CoupledView,True,25.58258,9.775543,16.38885,51.74698,49.43782,18.89104,31.67113,8
23,SideBySide,True,34.29044,50.52658,81.96295,166.78,20.56028,30.29535,49.14436,22
24,SideBySide,True,22.73682,22.61191,32.55679,77.90552,29.18512,29.02478,41.7901,14
23,CoupledView,True,64.26648,52.20804,11.59637,128.0709,50.18039,40.76495,9.054653,8
24,CoupledView,True,27.5022,30.85046,25.28345,83.63611,32.88316,36.88654,30.2303,7
23,FacetoFaceIntersect,True,35.57016,20.89182,1.492004,57.95398,61.37656,36.04897,2.574464,4
24,FacetoFaceIntersect,True,46.20648,37.59473,18.43301,102.2342,45.19669,36.77313,18.03018,6
23,Angled90,True,36.88783,49.80998,5.401184,92.099,40.05237,54.08309,5.864542,3
24,Angled90,True,13.9099,21.27527,19.92183,55.10699,25.24162,38.6072,36.15118,11
23,FaceToFaceNoIntersect,True,61.03026,16.06207,0,77.09233,79.16515,20.83485,0,0
24,FaceToFaceNoIntersect,True,39.38652,23.9707,19.88231,83.23953,47.31709,28.79726,23.88566,10
3,SideBySide,True,66.86859,81.90344,19.27026,168.0423,39.79271,48.73978,11.46751,28
4,SideBySide,True,10.52118,31.37946,41.01669,82.91733,12.68876,37.84427,49.46697,14
3,CoupledView,True,52.50195,102.1968,37.65872,192.3575,27.29395,53.12859,19.57747,29
4,CoupledView,True,70.05423,54.99014,33.59128,158.6357,44.16046,34.66443,21.17511,10
3,FacetoFaceIntersect,True,22.68332,82.63519,77.8344,183.1529,12.38491,45.11814,42.49695,38
4,FacetoFaceIntersect,True,20.13286,32.3867,39.70073,92.22029,21.83127,35.11885,43.04988,25
3,Angled90,True,51.0089,47.4054,8.018234,106.4325,47.92604,44.54033,7.533631,15
4,Angled90,True,10.00598,10.00912,11.38811,31.40321,31.86292,31.87293,36.26414,9
3,FaceToFaceNoIntersect,True,53.4789,60.24125,26.35105,140.0712,38.1798,43.00759,18.81261,20
4,FaceToFaceNoIntersect,True,41.39878,8.797554,14.71446,64.9108,63.77796,13.5533,22.66874,9
5,Angled90,True,50.65964,102.2357,2.548401,155.4438,32.59033,65.77024,1.639436,4
6,Angled90,True,11.48495,18.89041,35.1832,65.55856,17.51862,28.81456,53.66682,32
5,CoupledView,True,42.15176,42.99411,1.309906,86.45578,48.75529,49.7296,1.515117,3
6,CoupledView,True,28.32896,19.65941,24.14844,72.13681,39.27116,27.25295,33.47589,18
5,FaceToFaceNoIntersect,True,33.8875,37.92946,2.505829,74.32278,45.59503,51.03342,3.371549,6
6,FaceToFaceNoIntersect,True,30.81714,16.22778,17.94357,64.98849,47.41938,24.97024,27.61038,21
5,SideBySide,True,20.48577,65.67611,21.95326,108.1151,18.9481,60.74645,20.30545,11
6,SideBySide,True,14.66463,13.4805,19.97776,48.12289,30.4733,28.01265,41.51405,16
5,FacetoFaceIntersect,True,27.71928,27.20072,38.01979,92.9398,29.82499,29.26703,40.90798,13
6,FacetoFaceIntersect,True,15.2863,20.68873,16.43983,52.41486,29.16406,39.47112,31.36482,17
7,FaceToFaceNoIntersect,False,0,0,0,0,NaN,NaN,NaN,0
8,FaceToFaceNoIntersect,False,1.72522,0,0,1.72522,100,0,0,0
