TimeInsideGazeBounds,TimeSecondzone,TimeOutsideGazeBounds,TotalTime,PercentageInsideGazeBounds,PercentageSecondZone,PercentageOutsideGazeBounds,TimeInsideGazeBounds,TimeSecondzone,TimeOutsideGazeBounds,TotalTime,PercentageInsideGazeBounds,PercentageSecondZone,PercentageOutsideGazeBounds,TimeInsideGazeBounds,TimeSecondzone,TimeOutsideGazeBounds,TotalTime,PercentageInsideGazeBounds,PercentageSecondZone,PercentageOutsideGazeBounds,TimeInsideGazeBounds,TimeSecondzone,TimeOutsideGazeBounds,TotalTime,PercentageInsideGazeBounds,PercentageSecondZone,PercentageOutsideGazeBounds,TimeInsideGazeBounds,TimeSecondzone,TimeOutsideGazeBounds,TotalTime,PercentageInsideGazeBounds,PercentageSecondZone,PercentageOutsideGazeBounds
TimeInsideGazeBoundsAngled90dominant,TimeSecondzoneAngled90dominant,TimeOutsideGazeBoundsAngled90dominant,TotalTimeAngled90dominant,PercentageInsideGazeBoundsAngled90dominant,PercentageSecondZoneAngled90dominant,PercentageOutsideGazeBoundsCoupledViewdominant,TimeInsideGazeBoundsCoupledViewdominant,TimeSecondzoneCoupledViewdominant,TimeOutsideGazeBoundsCoupledViewdominant,TotalTimeCoupledViewdominant,PercentageInsideGazeBoundsCoupledViewdominant,PercentageSecondZoneCoupledViewdominant,PercentageOutsideGazeBoundsFaceToFaceIntersectdominant,TimeInsideGazeBoundsFaceToFaceIntersectdominant,TimeSecondzoneFaceToFaceIntersectdominant,TimeOutsideGazeBoundsFaceToFaceIntersectdominant,TotalTimeFaceToFaceIntersectdominant,PercentageInsideGazeBoundsFaceToFaceIntersectdominant,PercentageSecondZoneFaceToFaceIntersectdominant,PercentageOutsideGazeBoundsFaceToFaceNoIntersectdominant,TimeInsideGazeBoundsFaceToFaceNoIntersectdominant,TimeSecondzoneFaceToFaceNoIntersectdominant,TimeOutsideGazeBoundsFaceToFaceNoIntersectdominant,TotalTimeFaceToFaceNoIntersectdominant,PercentageInsideGazeBoundsFaceToFaceNoIntersectdominant,PercentageSecondZoneFaceToFaceNoIntersectdominant,PercentageOutsideGazeBoundsSideBySidedominant,TimeInsideGazeBoundsSideBySidedominant,TimeSecondzoneSideBySidedominant,TimeOutsideGazeBoundsSideBySidedominant,TotalTimeSideBySidedominant,PercentageInsideGazeBoundsSideBySidedominant,PercentageSecondZoneSideBySidedominant,PercentageOutsideGazeBoundsdominant
156.1895,35.70898,2.966064,194.8645,80.15285,15.09615,1.522116,64.25259,38.67081,2.255402,105.1788,61.08892,20.22212,2.14435,78.44904,95.21933,18.41916,192.0875,40.84026,39.86815,9.588941,123.8879,40.0976,1.684601,165.6701,74.77988,16.78061,1.016841,26.82312,17.9043,0,44.72742,59.9702,7.847503,0
230.2817,4.733093,0,235.0148,97.98605,1.978226,0,115.4837,0.90448,0,116.3882,99.22288,0.4732906,0,174.8768,20.68909,0,195.5659,89.42091,8.653866,0,184.2257,5.472168,0,189.6978,97.11533,2.289665,0,84.55402,1.608002,0,86.16202,98.13374,0.7037342,0
66.11145,12.15384,1.824432,80.08972,82.54674,8.011246,2.277986,43.69724,14.79993,0,58.49716,74.69975,13.45527,0,139.8519,42.43762,6.919983,189.2095,73.91378,17.73925,3.657313,59.6976,13.90891,0,73.60651,81.1037,9.172645,0,40.31424,13.12827,10.10785,63.55035,63.43669,13.50268,15.90526
88.7381,0.3598022,1.934174,91.03207,97.48003,0.2350382,2.124717,71.28952,0.6268921,0,71.91641,99.1283,0.5714012,0,195.0054,10.54388,2.939209,208.4885,93.53294,4.416317,1.40977,80.24255,0,0,80.24255,100,0,0,85.31461,1.443726,0.8345032,87.59283,97.39907,1.490479,0.9527071
110.8828,19.19821,2.616577,132.6976,83.56052,9.984812,1.971835,136.1538,20.19952,0,156.3533,87.08085,10.01614,0,182.1534,32.26093,0.821106,215.2354,84.62984,17.90248,0.381492,96.33896,10.53769,0.5567932,107.4334,89.67316,6.406389,0.518268,131.6136,22.02557,1.336731,154.976,84.92521,9.53583,0.8625409
143.7847,2.434906,6.433014,152.6526,94.19079,1.268594,4.214151,155.6285,0,0,155.6285,100,0,0,196.3134,9.217651,5.903076,211.4341,92.8485,5.115901,2.791922,111.7484,11.8056,0.3336792,123.8876,90.20138,7.203968,0.2693402,169.9981,38.78461,13.87878,222.6615,76.34823,16.85314,6.233131
80.62177,14.99295,27.577,123.1917,65.44415,9.754987,22.38543,83.13922,14.50684,8.311829,105.9579,78.4644,6.077446,7.844464,46.35886,11.69397,35.3504,93.40323,49.63303,4.909966,37.84709,43.54825,25.78815,26.69031,96.0267,45.35014,16.36817,27.79467,120.2436,19.04688,2.867493,142.158,84.5845,7.976004,2.017117
139.327,1.765656,1.684753,142.7774,97.58337,1.421274,1.179986,129.0969,0,0,129.0969,100,0,0,114.1835,0.7099915,0.6096802,115.5032,98.85746,0.3678738,0.5278471,145.8034,13.54669,0,159.3501,91.49879,10.26486,0,232.0494,4.189331,0,236.2388,98.22665,1.755962,0
