Id,Condition,Dominant,TimeInsideGazeBounds,TimeSecondzone,TimeOutsideGazeBounds,TotalTime,PercentageInsideGazeBounds,PercentageSecondZone,PercentageOutsideGazeBounds
19,Angled90,nondominant,225.4638,9.062134,2.017639,236.5436,95.31597,3.831063,0.8529672
19,Angled90,dominant,156.1895,35.70898,2.966064,194.8645,80.15285,15.09615,1.522116
20,Angled90,nondominant,168.828,63.35913,7.072327,239.2595,70.56273,26.48135,2.955924
20,Angled90,dominant,230.2817,4.733093,0,235.0148,97.98605,1.978226,0
19,FaceToFaceNoIntersect,nondominant,191.8696,47.08238,0,238.952,80.2963,19.7037,0
19,FaceToFaceNoIntersect,dominant,123.8879,40.0976,1.684601,165.6701,74.77988,16.78061,1.016841
20,FaceToFaceNoIntersect,nondominant,130.5615,105.7737,2.65918,238.9943,54.62954,44.25781,1.112654
20,FaceToFaceNoIntersect,dominant,184.2257,5.472168,0,189.6978,97.11533,2.289665,0
19,CoupledView,nondominant,161.8691,29.36111,0,191.2303,84.64619,15.3538,0
19,CoupledView,dominant,64.25259,38.67081,2.255402,105.1788,61.08892,20.22212,2.14435
20,CoupledView,nondominant,137.4922,50.74387,2.8685,191.1046,71.94606,26.55293,1.50101
20,CoupledView,dominant,115.4837,0.90448,0,116.3882,99.22288,0.4732906,0
19,FacetoFaceIntersect,nondominant,176.6854,59.14317,3.007057,238.8356,73.97782,24.76313,1.259049
19,FacetoFaceIntersect,dominant,78.44904,95.21933,18.41916,192.0875,40.84026,39.86815,9.588941
20,FacetoFaceIntersect,nondominant,142.8154,93.11189,3.146095,239.0733,59.73705,38.94699,1.315954
20,FacetoFaceIntersect,dominant,174.8768,20.68909,0,195.5659,89.42091,8.653866,0
19,SideBySide,nondominant,134.581,92.62468,0.9470825,228.1528,58.98724,40.59766,0.4151089
19,SideBySide,dominant,26.82312,17.9043,0,44.72742,59.9702,7.847503,0
20,SideBySide,nondominant,42.80634,111.7777,73.91159,228.4956,18.73399,48.91896,32.34705
20,SideBySide,dominant,84.55402,1.608002,0,86.16202,98.13374,0.7037342,0
21,FacetoFaceIntersect,nondominant,192.0095,39.17255,8.048096,239.2301,80.26141,16.37442,3.364165
21,FacetoFaceIntersect,dominant,139.8519,42.43762,6.919983,189.2095,73.91378,17.73925,3.657313
22,FacetoFaceIntersect,nondominant,147.6152,82.96017,8.172913,238.7483,61.8288,34.74796,3.423234
22,FacetoFaceIntersect,dominant,195.0054,10.54388,2.939209,208.4885,93.53294,4.416317,1.40977
21,FaceToFaceNoIntersect,nondominant,135.9709,12.47658,3.187195,151.6346,89.67006,8.228053,2.101891
21,FaceToFaceNoIntersect,dominant,59.6976,13.90891,0,73.60651,81.1037,9.172645,0
22,FaceToFaceNoIntersect,nondominant,103.3963,48.1902,0,151.5865,68.20944,31.79056,0
22,FaceToFaceNoIntersect,dominant,80.24255,0,0,80.24255,100,0,0
21,SideBySide,nondominant,87.59724,9.629883,0,97.22713,90.09547,9.904523,0
21,SideBySide,dominant,40.31424,13.12827,10.10785,63.55035,63.43669,13.50268,15.90526
22,SideBySide,nondominant,43.66428,53.1989,0,96.86317,45.0783,54.9217,0
22,SideBySide,dominant,85.31461,1.443726,0.8345032,87.59283,97.39907,1.490479,0.9527071
21,Angled90,nondominant,141.6129,8.411453,1.685364,151.7097,93.34465,5.544439,1.110913
21,Angled90,dominant,66.11145,12.15384,1.824432,80.08972,82.54674,8.011246,2.277986
22,Angled90,nondominant,93.65559,51.00214,8.424721,153.0825,61.17983,33.31678,5.503387
22,Angled90,dominant,88.7381,0.3598022,1.934174,91.03207,97.48003,0.2350382,2.124717
21,CoupledView,nondominant,107.1831,2.810364,0,109.9935,97.44497,2.555027,0
21,CoupledView,dominant,43.69724,14.79993,0,58.49716,74.69975,13.45527,0
22,CoupledView,nondominant,71.49979,38.21158,0,109.7114,65.17081,34.82919,0
22,CoupledView,dominant,71.28952,0.6268921,0,71.91641,99.1283,0.5714012,0
23,SideBySide,nondominant,107.589,119.8515,3.536499,230.977,46.57996,51.88894,1.531104
23,SideBySide,dominant,131.6136,22.02557,1.336731,154.976,84.92521,9.53583,0.8625409
24,SideBySide,nondominant,96.134,127.8165,6.182281,230.1328,41.77327,55.54033,2.686397
24,SideBySide,dominant,169.9981,38.78461,13.87878,222.6615,76.34823,16.85314,6.233131
23,CoupledView,nondominant,163.9825,36.90759,0.7796021,201.6697,81.31242,18.30101,0.3865738
23,CoupledView,dominant,136.1538,20.19952,0,156.3533,87.08085,10.01614,0
24,CoupledView,nondominant,130.0878,70.87967,0.5424194,201.5099,64.55653,35.17429,0.2691776
24,CoupledView,dominant,155.6285,0,0,155.6285,100,0,0
23,FacetoFaceIntersect,nondominant,152.8893,26.3537,0.9606018,180.2036,84.84254,14.6244,0.5330646
23,FacetoFaceIntersect,dominant,182.1534,32.26093,0.821106,215.2354,84.62984,17.90248,0.381492
24,FacetoFaceIntersect,nondominant,112.0549,67.5368,0.5848083,180.1765,62.19173,37.4837,0.3245753
24,FacetoFaceIntersect,dominant,196.3134,9.217651,5.903076,211.4341,92.8485,5.115901,2.791922
23,Angled90,nondominant,143.4878,48.45204,0.3342896,192.2742,74.62669,25.19946,0.1738609
23,Angled90,dominant,110.8828,19.19821,2.616577,132.6976,83.56052,9.984812,1.971835
24,Angled90,nondominant,129.1291,59.34113,3.467224,191.9374,67.27665,30.91692,1.806435
24,Angled90,dominant,143.7847,2.434906,6.433014,152.6526,94.19079,1.268594,4.214151
23,FaceToFaceNoIntersect,nondominant,164.3479,0.1393127,0,164.4872,99.91531,0.08469519,0
23,FaceToFaceNoIntersect,dominant,96.33896,10.53769,0.5567932,107.4334,89.67316,6.406389,0.518268
24,FaceToFaceNoIntersect,nondominant,120.4626,42.56435,0.8493958,163.8764,73.50824,25.97345,0.5183149
24,FaceToFaceNoIntersect,dominant,111.7484,11.8056,0.3336792,123.8876,90.20138,7.203968,0.2693402
3,SideBySide,nondominant,192.6695,46.13275,0,238.8022,80.68161,19.31839,0
3,SideBySide,dominant,120.2436,19.04688,2.867493,142.158,84.5845,7.976004,2.017117
4,SideBySide,nondominant,71.28375,157.8945,9.399292,238.5775,29.87865,66.18163,3.939722
4,SideBySide,dominant,232.0494,4.189331,0,236.2388,98.22665,1.755962,0
3,CoupledView,nondominant,168.2567,69.99741,0.4454041,238.6996,70.48892,29.32448,0.1865961
3,CoupledView,dominant,83.13922,14.50684,8.311829,105.9579,78.4644,6.077446,7.844464
4,CoupledView,nondominant,142.6551,87.65805,8.853699,239.1669,59.64669,36.65142,3.701892
4,CoupledView,dominant,129.0969,0,0,129.0969,100,0,0
3,FacetoFaceIntersect,nondominant,112.6663,113.6835,11.81822,238.1681,47.30538,47.73248,4.962136
3,FacetoFaceIntersect,dominant,46.35886,11.69397,35.3504,93.40323,49.63303,4.909966,37.84709
4,FacetoFaceIntersect,nondominant,83.3087,46.87531,62.81467,192.9987,43.16543,24.28789,32.54668
4,FacetoFaceIntersect,dominant,114.1835,0.7099915,0.6096802,115.5032,98.85746,0.3678738,0.5278471
3,Angled90,nondominant,124.9681,25.787,2.940125,153.6952,81.30903,16.77801,1.912957
3,Angled90,dominant,80.62177,14.99295,27.577,123.1917,65.44415,9.754987,22.38543
4,Angled90,nondominant,49.41087,49.13416,25.68546,124.2305,39.77355,39.5508,20.67565
4,Angled90,dominant,139.327,1.765656,1.684753,142.7774,97.58337,1.421274,1.179986
3,FaceToFaceNoIntersect,nondominant,113.8365,43.71409,0,157.5506,72.25394,27.74606,0
3,FaceToFaceNoIntersect,dominant,43.54825,25.78815,26.69031,96.0267,45.35014,16.36817,27.79467
4,FaceToFaceNoIntersect,nondominant,81.39029,32.96677,17.61444,131.9715,61.67263,24.98022,13.34716
4,FaceToFaceNoIntersect,dominant,145.8034,13.54669,0,159.3501,91.49879,10.26486,0
5,Angled90,nondominant,206.9971,26.69623,4.009735,237.703,87.08221,11.23092,1.686867
5,Angled90,dominant,111.7434,42.33771,32.34393,186.425,59.94012,17.81118,17.34956
6,Angled90,nondominant,78.67825,92.85098,31.26147,202.7907,38.79776,45.78661,15.41563
6,Angled90,dominant,178.4268,27.59723,6.779602,212.8036,83.84575,13.60872,3.185849
5,CoupledView,nondominant,128.3861,23.90643,0,152.2925,84.30229,15.6977,0
5,CoupledView,dominant,151.1186,34.57544,8.715607,194.4096,77.73205,22.7033,4.483115
6,CoupledView,nondominant,87.44687,53.13614,10.52493,151.1079,57.87046,35.16436,6.965175
6,CoupledView,dominant,174.356,7.615479,0.3206787,182.2922,95.64646,5.039761,0.1759147
5,FaceToFaceNoIntersect,nondominant,140.4342,16.16724,1.811539,158.413,88.6507,10.20575,1.143555
5,FaceToFaceNoIntersect,dominant,65.36923,13.39804,20.15097,98.91824,66.0841,8.457667,20.37134
6,FaceToFaceNoIntersect,nondominant,72.72804,37.30888,31.85936,141.8963,51.25437,26.29307,22.45257
6,FaceToFaceNoIntersect,dominant,109.465,17.47083,4.974823,131.9106,82.9842,12.31239,3.771358
5,SideBySide,nondominant,92.79785,52.36035,0.9748993,146.1331,63.50228,35.83059,0.6671311
5,SideBySide,dominant,50.71582,13.76926,2.39444,66.87952,75.83162,9.422408,3.580229
6,SideBySide,nondominant,51.7543,83.34321,9.600616,144.6981,35.76709,57.59799,6.634928
6,SideBySide,dominant,69.35928,17.94678,0,87.30606,79.44383,12.40291,0
5,FacetoFaceIntersect,nondominant,90.11315,51.98302,0.6258011,142.722,63.13895,36.42258,0.4384756
5,FacetoFaceIntersect,dominant,99.69568,28.77588,28.7789,157.2505,63.39929,20.16219,18.30131
6,FacetoFaceIntersect,nondominant,81.24873,27.76445,18.6593,127.6725,63.6384,21.74662,14.61498
6,FacetoFaceIntersect,dominant,152.9578,18.45752,1.321716,172.737,88.54951,14.45693,0.7651611
7,FaceToFaceNoIntersect,nondominant,2.306885,0,0,2.306885,100,0,0
7,FaceToFaceNoIntersect,dominant,0,0,0,0,NaN,0,NaN
8,FaceToFaceNoIntersect,nondominant,1.72522,0,0,1.72522,100,0,0
8,FaceToFaceNoIntersect,dominant,0,0,0,0,NaN,0,NaN
7,FaceToFaceNoIntersect,nondominant,210.9683,15.82842,0.4185944,227.2153,92.8495,6.966265,0.184228
7,FaceToFaceNoIntersect,dominant,91.16135,29.59497,47.75543,168.5117,54.09792,13.02508,28.33953
8,FaceToFaceNoIntersect,nondominant,76.4873,49.09856,44.92112,170.507,44.85875,28.79563,26.34562
8,FaceToFaceNoIntersect,dominant,223.8791,8.866669,0.9742432,233.72,95.78944,5.200179,0.416842
7,FacetoFaceIntersect,nondominant,196.425,10.10741,0,206.5324,95.10614,4.89386,0
7,FacetoFaceIntersect,dominant,63.81372,17.7482,32.63083,114.1927,55.88246,8.593422,28.57522
8,FacetoFaceIntersect,nondominant,97.18797,45.70259,31.48643,174.377,55.7344,26.20907,18.05653
8,FacetoFaceIntersect,dominant,148.4817,6.92691,0.6262817,156.0349,95.15929,3.972376,0.4013728
7,Angled90,nondominant,170.6098,29.2356,0.8626862,200.7081,85.00395,14.56623,0.4298213
7,Angled90,dominant,70.9726,13.26828,26.15955,110.4004,64.28653,6.610735,23.69515
8,Angled90,nondominant,75.32288,55.92155,42.94008,174.1845,43.24315,32.10478,24.65207
8,Angled90,dominant,152.9749,3.298615,0.2785034,156.552,97.71506,1.893747,0.1778983
7,SideBySide,nondominant,134.8301,54.70522,0.5569153,190.0923,70.92879,28.77825,0.292971
7,SideBySide,dominant,54.58719,25.21661,12.0986,91.9024,59.39691,13.26546,13.16462
8,SideBySide,nondominant,84.78604,97.22647,6.853241,188.8658,44.89223,51.47914,3.628631
8,SideBySide,dominant,114.8017,35.44373,0,150.2455,76.40945,18.76662,0
7,CoupledView,nondominant,127.5266,8.398296,0,135.9249,93.82137,6.178631,0
7,CoupledView,dominant,153.2518,35.22096,0,188.4727,81.31244,25.91208,0
8,CoupledView,nondominant,82.29401,49.74662,3.441418,135.482,60.74163,36.71824,2.540128
8,CoupledView,dominant,185.9906,11.68112,7.01828,204.69,90.86452,8.621897,3.428735
9,SideBySide,nondominant,132.7147,13.24115,0.9050293,146.8608,90.36763,9.01612,0.6162496
9,SideBySide,dominant,147.0593,10.37305,15.13239,172.5647,85.21979,7.063181,8.769107
10,SideBySide,nondominant,57.55035,68.19638,20.04062,145.7874,39.47555,46.77798,13.74647
10,SideBySide,dominant,159.6415,9.298645,0.0970459,169.0372,94.44164,6.378225,0.05741097
9,FacetoFaceIntersect,nondominant,168.6781,13.42093,0,182.099,92.62988,7.370126,0
9,FacetoFaceIntersect,dominant,65.42838,10.98209,18.83316,95.24362,68.69581,6.030831,19.77367
10,FacetoFaceIntersect,nondominant,86.08563,34.06039,22.30183,142.4479,60.43308,23.91078,15.65614
10,FacetoFaceIntersect,dominant,92.61337,6.388275,0,99.00165,93.5473,4.484641,0
9,CoupledView,nondominant,89.02957,26.03,1.057922,116.1175,76.67197,22.41695,0.9110792
9,CoupledView,dominant,23.01135,9.647705,1.518982,34.17804,67.32789,8.308572,4.444322
10,CoupledView,nondominant,66.82037,43.62054,5.704102,116.145,57.53185,37.55696,4.911189
10,CoupledView,dominant,35.90704,0.4437256,0.7507935,37.10156,96.78041,0.3820444,2.023617
9,CoupledView,nondominant,1.555893,0,0,1.555893,100,0,0
9,CoupledView,dominant,72.6853,24.20946,8.18454,105.0793,69.17186,1555.985,7.788918
10,CoupledView,nondominant,1.556107,0,0,1.556107,100,0,0
10,CoupledView,dominant,106.7403,0.9060211,0.9764862,108.6228,98.26693,58.22359,0.8989694
9,FaceToFaceNoIntersect,nondominant,77.57387,22.17694,0.4172974,100.1681,77.44368,22.13972,0.416597
9,FaceToFaceNoIntersect,dominant,58.94229,10.83496,22.92657,92.70383,63.58129,10.81678,24.73099
10,FaceToFaceNoIntersect,nondominant,48.01976,18.62999,16.53877,83.18852,57.72402,22.3949,19.88107
10,FaceToFaceNoIntersect,dominant,89.67313,10.81833,4.858795,105.3503,85.11904,13.00459,4.61204
9,Angled90,nondominant,41.7686,50.43849,0,92.20709,45.29869,54.70131,0
9,Angled90,dominant,40.47974,5.953201,18.26331,64.69624,62.56891,6.456338,28.22931
10,Angled90,nondominant,47.24719,21.70971,9.3312,78.2881,60.35041,27.73054,11.91905
10,Angled90,dominant,77.49268,7.152267,1.030701,85.67564,90.4489,9.13583,1.203027
11,CoupledView,nondominant,178.6587,52.68286,7.740295,239.0818,74.727,22.03549,3.237509
11,CoupledView,dominant,131.1844,40.73523,0.5563354,172.476,76.05952,17.03819,0.3225583
12,CoupledView,nondominant,126.8469,99.40656,12.57355,238.827,53.11246,41.62283,5.264709
12,CoupledView,dominant,179.1586,11.21936,0,190.3779,94.1068,4.697693,0
11,Angled90,nondominant,120.967,116.8185,0.9884949,238.774,50.66171,48.9243,0.4139877
11,Angled90,dominant,51.13541,30.79501,33.98569,115.9161,44.11415,12.89714,29.31921
12,Angled90,nondominant,76.28888,68.67703,53.28868,198.2546,38.48026,34.64083,26.87891
12,Angled90,dominant,204.3846,0,0,204.3846,100,0,0
11,SideBySide,nondominant,126.5937,62.52591,3.466278,192.5859,65.73364,32.4665,1.799861
11,SideBySide,dominant,89.58405,36.29605,17.79059,143.6707,62.35374,18.84668,12.38289
12,SideBySide,nondominant,107.1769,62.55016,23.2516,192.9786,55.5382,32.413,12.0488
12,SideBySide,dominant,168.4562,27.08896,0,195.5452,86.14696,14.03728,0
