UserId,collaborationType,dominantPlayer,currentTask,NameBlueprintObj,blueprintPosX,blueprintPosY,blueprintPosZ,NameUserPlacedObj,UserPlacedPosX,UserPlacedPosY,UserPlacedPosZ,AbsoluteDistance,RelativeDistanceX,RelativeDistanceY,RelativeDistanceZ,correctObject
1,SideBySide,P1,0,p03,0.162,0.511,-0.223,p03_root,-0.8196229,0.5596997,0.6213073,p03_root,-0.9816229,0.04869962,0.8443072,1.295689,False
1,SideBySide,P1,0,p14,0.072,0.511,-0.223,p14_root,1.392699,0.6200557,0.9028486,p14_root,1.320699,0.1090556,1.125849,1.738871,False
1,SideBySide,P1,0,p17,-0.108,0.511,-0.223,p17_root,-0.9669757,0.5623333,0.1891651,p17_root,-0.8589758,0.05133325,0.4121651,0.954125,False
1,SideBySide,P1,0,p16,0,-100,0,p16_root,0,-100,0,p16_root,0,0,0,0,True
1,SideBySide,P1,0,p18,0,-100,0,p18_root,0,-100,0,p18_root,0,0,0,0,True
1,SideBySide,P1,0,p08,0,-100,0,p08_root,0,-100,0,p08_root,0,0,0,0,True
1,SideBySide,P1,0,p09,0,-100,0,p09_root,0,-100,0,p09_root,0,0,0,0,True
1,SideBySide,P1,0,p01,0,-100,0,p01_root,0,-100,0,p01_root,0,0,0,0,True
1,SideBySide,P1,0,p12,0,-100,0,p12_root,0,-100,0,p12_root,0,0,0,0,True
1,SideBySide,P1,0,p25,0,-100,0,p25_root,0,-100,0,p25_root,0,0,0,0,True
1,SideBySide,P1,0,p27,0,-100,0,p27_root,0,-100,0,p27_root,0,0,0,0,True
1,SideBySide,P1,0,p10,0,-100,0,p10_root,0,-100,0,p10_root,0,0,0,0,True
1,SideBySide,P2,1,p09,0.392,0.601,-0.133,p09_root,-1.579999,0.5957466,0.2378797,p09_root,-1.971999,-0.005253315,0.3708797,2.006579,False
1,SideBySide,P2,1,p26,0.752,0.511,-0.133,p26_root,1.184786,0.5268887,0.9425032,p26_root,0.4327857,0.01588869,1.075503,1.159424,False
1,SideBySide,P2,1,p18,0.842,0.421,-0.223,p18_root,-1.542493,0.520569,0.4044087,p18_root,-2.384493,0.09956899,0.6274087,2.467664,False
1,SideBySide,P2,1,p25,0,-100,0,p25_root,0,-100,0,p25_root,0,0,0,0,True
1,SideBySide,P2,1,p01,0,-100,0,p01_root,0,-100,0,p01_root,0,0,0,0,True
1,SideBySide,P2,1,p12,0,-100,0,p12_root,0,-100,0,p12_root,0,0,0,0,True
1,SideBySide,P2,1,p13,0,-100,0,p13_root,0,-100,0,p13_root,0,0,0,0,True
1,SideBySide,P2,1,p24,0,-100,0,p24_root,0,-100,0,p24_root,0,0,0,0,True
1,SideBySide,P2,1,p27,0,-100,0,p27_root,0,-100,0,p27_root,0,0,0,0,True
1,SideBySide,P2,1,p21,0,-100,0,p21_root,0,-100,0,p21_root,0,0,0,0,True
1,SideBySide,P2,1,p14,0,-100,0,p14_root,0,-100,0,p14_root,0,0,0,0,True
1,SideBySide,P2,1,p20,0,-100,0,p20_root,0,-100,0,p20_root,0,0,0,0,True
