userId,collabType,currentTask,bPart,distance,timeElapsed
1,CoupledView,0,HeadP1,1.54,7.939697
1,CoupledView,0,rightHandP1,1.54,7.938267
1,CoupledView,0,leftHandP1,1.54,7.938251
2,CoupledView,0,HeadP2,1.33,7.93816
2,CoupledView,0,rightHandP2,1.33,7.937714
2,CoupledView,0,leftHandP2,1.33,7.937702
1,CoupledView,1,HeadP1,1.54,2.940971
1,CoupledView,1,rightHandP1,1.54,2.940968
1,CoupledView,1,leftHandP1,1.54,2.940968
2,CoupledView,1,HeadP2,1.33,2.940968
2,CoupledView,1,rightHandP2,1.33,2.940968
2,CoupledView,1,leftHandP2,1.33,2.940968
1,CoupledView,2,HeadP1,1.54,38.82116
1,CoupledView,2,rightHandP1,1.54,38.82115
1,CoupledView,2,leftHandP1,1.54,38.82116
2,CoupledView,2,HeadP2,1.33,38.82115
2,CoupledView,2,rightHandP2,1.33,38.82115
2,CoupledView,2,leftHandP2,1.33,38.82116
1,CoupledView,3,HeadP1,1.54,8.886856
1,CoupledView,3,rightHandP1,1.54,8.886841
1,CoupledView,3,leftHandP1,1.54,8.886826
2,CoupledView,3,HeadP2,1.33,8.88678
2,CoupledView,3,rightHandP2,1.33,8.88678
2,CoupledView,3,leftHandP2,1.33,8.88678
