UserId,collaborationType,dominantPlayer,currentTask,NameBlueprintObj,blueprintPosX,blueprintPosY,blueprintPosZ,NameUserPlacedObj,UserPlacedPosX,UserPlacedPosY,UserPlacedPosZ,AbsoluteDistance,RelativeDistanceX,RelativeDistanceY,RelativeDistanceZ,correctObject
1,FacetoFaceIntersect,P1,0,part1,-0.01799999,0.691,-0.223,part1_root(Clone)1.091726,0.5524538,0.4754939,part1_root(Clone),1.109726,-0.1385462,0.6984939,1.318552,True
1,FacetoFaceIntersect,P1,0,part2,0.072,0.421,-0.223,part2_root(Clone)-0.5602401,0.7167718,1.097097,part2_root(Clone),-0.6322401,0.2957719,1.320097,1.493273,True
1,FacetoFaceIntersect,P1,0,part3,0.252,0.601,-0.223,part3_root(Clone)-0.1862542,0.4746552,0.9560504,part3_root(Clone),-0.4382542,-0.1263448,1.17905,1.264195,True
1,FacetoFaceIntersect,P1,0,part4,0.252,0.511,-0.223,part4_root(Clone)-1.597627,0.6713016,-1.27948,part4_root(Clone),-1.849627,0.1603016,-1.05648,2.13611,True
1,FacetoFaceIntersect,P1,0,part5,0.162,0.421,-0.133,part5_root(Clone)-1.235283,0.604103,-1.448459,part5_root(Clone),-1.397283,0.183103,-1.315459,1.927786,True
1,FacetoFaceIntersect,P1,0,part6,-0.198,0.691,-0.133,part6_root(Clone)1.661162,0.7051353,0.6122953,part6_root(Clone),1.859162,0.01413536,0.7452953,2.003035,True
1,FacetoFaceIntersect,P1,0,part7,0.072,0.601,-0.133,part7_root(Clone)-1.24735,0.5625985,-0.7867965,part7_root(Clone),-1.31935,-0.03840148,-0.6537964,1.47296,True
1,FacetoFaceIntersect,P1,0,part8,0.072,0.511,-0.133,part8_root(Clone)-1.491441,0.6769651,-0.6296812,part8_root(Clone),-1.563441,0.1659651,-0.4966812,1.648813,True
1,FacetoFaceIntersect,P1,0,part9,0.162,0.511,-0.133,part9_root(Clone)1.465892,0.5752639,-0.1214266,part9_root(Clone),1.303892,0.06426382,0.01157339,1.305526,True
1,FacetoFaceIntersect,P1,0,part10,-0.108,0.691,-0.04300001,part10_root(Clone)-0.795071,0.4821819,0.9962082,part10_root(Clone),-0.687071,-0.208818,1.039208,1.263181,True
