UserId,collaborationType,dominantPlayer,currentTask,NameBlueprintObj,blueprintPosX,blueprintPosY,blueprintPosZ,NameUserPlacedObj,UserPlacedPosX,UserPlacedPosY,UserPlacedPosZ,AbsoluteDistance,RelativeDistanceX,RelativeDistanceY,RelativeDistanceZ,correctObject
1,FacetoFaceIntersect,P1,0,p17,-0.108,0.511,-0.223,p17_root,0.4309333,0.652091,-1.247795,p17_root,0.5389333,0.141091,-1.024794,1.16643,False
1,FacetoFaceIntersect,P1,0,p13,-0.198,0.691,-0.223,p13_root,-1.32713,0.6237119,-1.120767,p13_root,-1.12913,-0.06728804,-0.8977674,1.444108,False
1,FacetoFaceIntersect,P1,0,p26,0.266,0.511,-0.133,p26_root,0.4826422,0.6569916,-1.613652,p26_root,0.2166422,0.1459916,-1.480652,1.503522,False
1,FacetoFaceIntersect,P1,0,p27,0,-100,0,p27_root,0,-100,0,p27_root,0,0,0,0,True
1,FacetoFaceIntersect,P1,0,p16,0,-100,0,p16_root,0,-100,0,p16_root,0,0,0,0,True
1,FacetoFaceIntersect,P1,0,p21,0,-100,0,p21_root,0,-100,0,p21_root,0,0,0,0,True
1,FacetoFaceIntersect,P1,0,p10,0,-100,0,p10_root,0,-100,0,p10_root,0,0,0,0,True
1,FacetoFaceIntersect,P1,0,p11,0,-100,0,p11_root,0,-100,0,p11_root,0,0,0,0,True
1,FacetoFaceIntersect,P1,0,p05,0,-100,0,p05_root,0,-100,0,p05_root,0,0,0,0,True
1,FacetoFaceIntersect,P1,0,p25,0,-100,0,p25_root,0,-100,0,p25_root,0,0,0,0,True
1,FacetoFaceIntersect,P1,0,p22,0,-100,0,p22_root,0,-100,0,p22_root,0,0,0,0,True
1,FacetoFaceIntersect,P1,0,p02,0,-100,0,p02_root,0,-100,0,p02_root,0,0,0,0,True
1,FacetoFaceIntersect,P2,1,p15,-0.07200004,0.691,-0.211,p15_root,1.01426,0.5972736,1.35224,p15_root,1.08626,-0.0937264,1.56324,1.905902,False
1,FacetoFaceIntersect,P2,1,p18,0.01799998,0.691,-0.211,p18_root,1.166966,0.5855715,1.021128,p18_root,1.148966,-0.1054285,1.232128,1.68801,False
1,FacetoFaceIntersect,P2,1,p13,0.01799999,0.511,-0.03100002,p13_root,-1.235309,0.6353319,0.5757209,p13_root,-1.253309,0.1243318,0.6067209,1.397981,False
1,FacetoFaceIntersect,P2,1,p26,0,-100,0,p26_root,0,-100,0,p26_root,0,0,0,0,True
1,FacetoFaceIntersect,P2,1,p27,0,-100,0,p27_root,0,-100,0,p27_root,0,0,0,0,True
1,FacetoFaceIntersect,P2,1,p02,0,-100,0,p02_root,0,-100,0,p02_root,0,0,0,0,True
1,FacetoFaceIntersect,P2,1,p21,0,-100,0,p21_root,0,-100,0,p21_root,0,0,0,0,True
1,FacetoFaceIntersect,P2,1,p09,0,-100,0,p09_root,0,-100,0,p09_root,0,0,0,0,True
1,FacetoFaceIntersect,P2,1,p14,0,-100,0,p14_root,0,-100,0,p14_root,0,0,0,0,True
1,FacetoFaceIntersect,P2,1,p04,0,-100,0,p04_root,0,-100,0,p04_root,0,0,0,0,True
1,FacetoFaceIntersect,P2,1,p03,0,-100,0,p03_root,0,-100,0,p03_root,0,0,0,0,True
1,FacetoFaceIntersect,P2,1,p16,0,-100,0,p16_root,0,-100,0,p16_root,0,0,0,0,True
1,FacetoFaceIntersect,P1,2,p02,0.252,0.421,-0.04300001,p02_root,0.5528067,0.613409,-1.358824,p02_root,0.3008067,0.1924091,-1.315824,1.363415,False
1,FacetoFaceIntersect,P1,2,p12,0.07499999,0.691,-0.133,p12_root,1.425433,0.6796247,-0.4233805,p12_root,1.350433,-0.01137531,-0.2903805,1.381347,False
1,FacetoFaceIntersect,P1,2,p17,0.072,0.601,-0.133,p17_root,-0.9478932,0.6851015,-1.475575,p17_root,-1.019893,0.08410156,-1.342575,1.688124,False
1,FacetoFaceIntersect,P1,2,p23,0.252,0.513,-0.223,p23_root,1.578331,0.5880384,-0.8343619,p23_root,1.326331,0.07503843,-0.6113619,1.462377,False
1,FacetoFaceIntersect,P1,2,p13,-0.198,0.511,-0.04300001,p13_root,0.5078483,0.6476359,-1.68014,p13_root,0.7058483,0.1366359,-1.63714,1.788048,False
1,FacetoFaceIntersect,P1,2,p27,0.252,0.691,-0.04300001,p27_root,-0.8913129,0.6122456,-1.122524,p27_root,-1.143313,-0.07875443,-1.079524,1.574401,False
1,FacetoFaceIntersect,P1,2,p04,0.162,0.691,-0.04300001,p04_root,-0.9525436,0.592608,-0.9716716,p04_root,-1.114544,-0.09839201,-0.9286716,1.45407,False
1,FacetoFaceIntersect,P1,2,p08,-0.01800001,0.691,-0.223,p08_root,1.140691,0.5654746,-0.7879287,p08_root,1.158691,-0.1255254,-0.5649287,1.29517,False
1,FacetoFaceIntersect,P1,2,p26,0.162,0.511,-0.223,p26_root,-1.041753,0.5077823,-0.7653967,p26_root,-1.203753,-0.003217697,-0.5423967,1.320313,False
1,FacetoFaceIntersect,P1,2,p01,-0.01800001,0.601,-0.04300001,p01_root,0.1792187,0.6357982,-1.340168,p01_root,0.1972187,0.03479826,-1.297168,1.312536,False
1,FacetoFaceIntersect,P1,2,p15,-0.108,0.601,-0.04300001,p15_root,0.05371514,0.6005323,-1.312776,p15_root,0.1617151,-0.000467658,-1.269776,1.280033,False
1,FacetoFaceIntersect,P1,2,p14,-0.01800001,0.511,-0.223,p14_root,1.18934,0.5856435,-0.46504,p14_root,1.20734,0.07464349,-0.24204,1.233622,False
