userId,collabType,currentTask,bPart,distance,timeElapsed
1,FacetoFaceIntersect,0,HeadP1,1.54,1.100269
1,FacetoFaceIntersect,0,rightHandP1,1.54,1.099289
1,FacetoFaceIntersect,0,leftHandP1,1.54,1.099277
2,FacetoFaceIntersect,0,HeadP2,1.33,1.099224
2,FacetoFaceIntersect,0,rightHandP2,1.33,1.098965
2,FacetoFaceIntersect,0,leftHandP2,1.33,1.098957
1,FacetoFaceIntersect,1,HeadP1,1.54,1.422775
1,FacetoFaceIntersect,1,rightHandP1,1.54,1.422771
1,FacetoFaceIntersect,1,leftHandP1,1.54,1.422771
2,FacetoFaceIntersect,1,HeadP2,1.33,1.422768
2,FacetoFaceIntersect,1,rightHandP2,1.33,1.422768
2,FacetoFaceIntersect,1,leftHandP2,1.33,1.422764
1,FacetoFaceIntersect,2,HeadP1,1.54,241.7323
1,FacetoFaceIntersect,2,rightHandP1,1.54,241.7323
1,FacetoFaceIntersect,2,leftHandP1,1.54,241.7323
2,FacetoFaceIntersect,2,HeadP2,1.33,241.7323
2,FacetoFaceIntersect,2,rightHandP2,1.33,241.7323
2,FacetoFaceIntersect,2,leftHandP2,1.33,241.7323
