-----
p01,0.495,0.045,0.045
p06,0.495,0.315,0.135
p07,0.315,0.045,0.045
p08,0.495,0.225,0.045
p10,0.045,0.225,0.045
p11,0.225,0.315,0.225
p15,0.135,0.135,0.045
p16,0.135,0.225,0.045
p17,0.225,0.225,0.225
p19,0.405,0.315,0.045
p25,0.495,0.135,0.045
p27,0.495,0.225,0.045
-----
p01,0.495,0.045,0.225
p02,0.318,0.315,0.135
p05,0.315,0.225,0.135
p06,0.495,0.137,0.045
p09,0.045,0.135,0.225
p11,0.495,0.315,0.225
p17,0.405,0.315,0.225
p19,0.225,0.315,0.045
p21,0.405,0.135,0.045
p22,0.225,0.225,0.225
p24,0.135,0.225,0.225
p26,0.225,0.135,0.045
-----
p02,0.405,0.135,0.045
p03,0.315,0.135,0.045
p04,0.135,0.135,0.045
p05,0.045,0.225,0.045
p07,0.495,0.315,0.045
p08,0.045,0.045,0.225
p11,0.2132,0.045,0.135
p18,0.135,0.22,0.045
p22,0.315,0.225,0.135
p24,0.045,0.135,0.135
p26,0.495,0.135,0.135
p27,0.135,0.045,0.135
-----
p02,0.045,0.225,0.135
p03,0.135,0.045,0.045
p06,0.495,0.315,0.135
p08,0.135,0.315,0.045
p11,0.045,0.045,0.225
p13,0.225,0.135,0.045
p17,0.405,0.045,0.135
p19,0.225,0.135,0.225
p20,0.315,0.135,0.225
p21,0.405,0.225,0.045
p22,0.315,0.225,0.045
p23,0.135,0.225,0.225
-----
p05,0.225,0.225,0.135
p06,0.405,0.045,0.135
p07,0.045,0.315,0.135
p11,0.217,0.045,0.045
p16,0.045,0.225,0.045
p17,0.495,0.045,0.225
p18,0.225,0.135,0.225
p19,0.225,0.045,0.225
p21,0.482,0.045,0.045
p22,0.135,0.225,0.225
p24,0.405,0.225,0.225
p27,0.405,0.045,0.135
-----
p01,0.315,0.225,0.135
p07,0.405,0.44,0.045
p11,0.315,0.135,0.045
p12,0.225,0.225,0.045
p15,0.135,0.315,0.135
p21,0.405,0.225,0.135
p22,0.495,0.209,0.045
p23,0.045,0.225,0.045
p24,0.045,0.315,0.225
p25,0.225,0.135,0.225
p26,0.405,0.315,0.135
p27,0.495,0.315,0.135
-----
p01,0.135,0.135,0.225
p02,0.135,0.315,0.225
p04,0.045,0.135,0.045
p10,0.045,0.315,0.045
p11,0.315,0.225,0.225
p14,0.315,0.315,0.045
p17,0.225,0.315,0.225
p18,0.405,0.135,0.045
p19,0.495,0.315,0.135
p22,0.135,0.045,0.135
p24,0.135,0.244,0.045
p27,0.405,0.315,0.135
-----
p01,0.495,0.135,0.045
p02,0.135,0.045,0.045
p04,0.225,0.045,0.135
p06,0.045,0.045,0.135
p07,0.225,0.225,0.135
p11,0.045,0.135,0.225
p15,0.495,0.225,0.225
p17,0.405,0.225,0.225
p18,0.315,0.045,0.225
p19,0.135,0.315,0.225
p24,0.315,0.225,0.135
p26,0.135,0.045,0.045
-----
p01,0.045,0.225,0.135
p03,0.405,0.135,0.135
p04,0.495,0.045,0.045
p08,0.225,0.135,0.045
p09,0.135,0.045,0.135
p12,0.225,0.045,0.135
p14,0.315,0.135,0.045
p17,0.225,0.225,0.225
p21,0.405,0.045,0.225
p22,0.495,0.135,0.225
p26,0.045,0.135,0.045
p27,0.315,0.225,0.135
-----
p04,0.315,0.135,0.225
p06,0.405,0.0501,0.045
p08,0.405,0.225,0.045
p10,0.045,0.135,0.225
p14,0.135,0.135,0.045
p15,0.405,0.435,0.135
p16,0.2105,0.225,0.045
p18,0.1386,0.045,0.135
p19,0.045,0.225,0.135
p20,0.135,0.135,0.225
p21,0.405,0.135,0.135
p26,0.135,0.225,0.225
-----
p01,0.135,0.135,0.135
p03,0.495,0.135,0.135
p04,0.405,0.135,0.225
p07,0.315,0.315,0.225
p14,0.405,0.225,0.045
p15,0.495,0.225,0.135
p17,0.405,0.225,0.045
p18,0.129,0.045,0.135
p21,0.405,0.045,0.225
p22,0.045,0.045,0.225
p25,0.225,0.045,0.045
p26,0.315,0.135,0.135
-----
p02,0.405,0.225,0.045
p04,0.045,0.225,0.225
p08,0.225,0.225,0.135
p09,0.405,0.135,0.135
p13,0.495,0.135,0.225
p17,0.135,0.225,0.045
p19,0.315,0.045,0.045
p21,0.135,0.315,0.225
p23,0.045,0.045,0.135
p24,0.135,0.135,0.135
p25,0.225,0.045,0.045
p27,0.405,0.535,0.135
-----
p04,0.405,0.045,0.135
p10,0.227,0.045,0.045
p12,0.405,0.225,0.135
p14,0.495,0.045,0.135
p16,0.135,0.135,0.045
p17,0.315,0.045,0.135
p19,0.495,0.135,0.225
p20,0.035,0.045,0.225
p23,0.315,0.135,0.045
p24,0.135,0.045,0.045
p26,0.259,0.139,0.225
p27,0.495,0.315,0.135
-----
p05,0.405,0.045,0.135
p11,0.315,0.225,0.225
p14,0.405,0.135,0.135
p15,0.405,0.535,0.135
p16,0.495,0.135,0.225
p17,0.135,0.315,0.135
p19,0.225,0.227,0.045
p22,0.405,0.225,0.045
p23,0.225,0.315,0.045
p25,0.225,0.045,0.045
p26,0.495,0.315,0.045
p27,0.312,0.045,0.045
-----
p02,0.315,0.315,0.225
p03,0.225,0.315,0.225
p04,0.225,0.135,0.045
p07,0.045,0.225,0.045
p08,0.135,0.045,0.225
p11,0.133,0.315,0.045
p15,0.315,0.225,0.045
p16,0.495,0.225,0.135
p18,0.225,0.045,0.045
p19,0.405,0.225,0.225
p23,0.405,0.315,0.135
p25,0.405,0.135,0.045
-----
p02,0.135,0.135,0.045
p03,0.045,0.315,0.045
p10,0.405,0.135,0.135
p11,0.045,0.045,0.225
p12,0.135,0.225,0.045
p13,0.315,0.135,0.225
p16,0.227,0.045,0.135
p17,0.405,0.535,0.135
p18,0.225,0.225,0.225
p19,0.315,0.225,0.045
p24,0.135,0.045,0.135
p26,0.045,0.315,0.225
-----
p02,0.135,0.135,0.045
p03,0.045,0.315,0.045
p10,0.509,0.135,0.135
p11,0.045,0.045,0.225
p12,0.135,0.225,0.045
p13,0.315,0.135,0.225
p16,0.227,0.045,0.135
p17,0.405,0.135,0.135
p18,0.225,0.225,0.225
p19,0.315,0.225,0.045
p24,0.135,0.045,0.135
p26,0.045,0.315,0.225
-----
p03,0.405,0.135,0.135
p05,0.135,0.225,0.045
p06,0.135,0.045,0.225
p07,0.135,0.225,0.045
p08,0.045,0.225,0.135
p09,0.045,0.045,0.225
p15,0.244,0.135,0.135
p17,0.135,0.135,0.135
p19,0.135,0.315,0.225
p20,0.315,0.135,0.225
p23,0.225,0.225,0.225
p24,0.405,0.315,0.135
-----
p03,0.495,0.315,0.225
p05,0.045,0.315,0.135
p07,0.225,0.225,0.045
p08,0.135,0.225,0.135
p09,0.495,0.045,0.135
p13,0.225,0.315,0.225
p16,0.045,0.315,0.135
p17,0.315,0.045,0.135
p18,0.405,0.328,0.135
p20,0.023,0.225,0.045
p23,0.135,0.135,0.135
p25,0.045,0.225,0.225
-----
p01,0.135,0.225,0.135
p12,0.283,0.225,0.045
p13,0.495,0.225,0.135
p15,0.225,0.315,0.045
p18,0.405,0.315,0.045
p19,0.405,0.045,0.225
p20,0.495,0.135,0.045
p22,0.495,0.308,0.135
p23,0.405,0.225,0.225
p25,0.225,0.045,0.045
p26,0.225,0.045,0.225
p27,0.034,0.225,0.045
-----
p04,0.405,0.061,0.045
p10,0.315,0.135,0.135
p11,0.315,0.225,0.045
p14,0.315,0.315,0.225
p15,0.405,0.225,0.045
p16,0.495,0.135,0.225
p18,0.225,0.315,0.225
p22,0.405,0.135,0.135
p23,0.495,0.225,0.225
p24,0.135,0.045,0.225
p25,0.045,0.315,0.135
p26,0.405,0.535,0.135
-----
p03,0.135,0.045,0.225
p04,0.135,0.135,0.045
p06,0.315,0.315,0.045
p07,0.225,0.045,0.135
p08,0.045,0.135,0.225
p09,0.405,0.135,0.225
p15,0.045,0.135,0.045
p16,0.405,0.225,0.135
p20,0.225,0.135,0.135
p23,0.495,0.225,0.135
p26,0.135,0.315,0.135
p27,0.315,0.135,0.135
